RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714572642.6632061,0.56187629699707031 0.53648269176483154 0.27971360087394714, -0.0028098218608647585 -0.00013968699204269797   -0.018222291022539139     0.99983000755310059,0.56187629699707031 0.53648269176483154 0.27971360087394714, -0.0028098218608647585 -0.00013968699204269797   -0.018222291022539139     0.99983000755310059
1714572642.6681664,0.56187885999679565 0.54028970003128052 0.27975168824195862, -0.0026736855506896973 -3.9501384890172631e-05   -0.018950337544083595     0.99981683492660522,0.56187885999679565 0.54028970003128052 0.27975168824195862, -0.0026736855506896973 -3.9501384890172631e-05   -0.018950337544083595     0.99981683492660522
1714572642.673234, 0.5618739128112793 0.54223734140396118  0.2797606885433197, -0.0024909113999456167 -8.9988148829434067e-05   -0.019095631316304207     0.99981456995010376, 0.5618739128112793 0.54223734140396118  0.2797606885433197, -0.0024909113999456167 -8.9988148829434067e-05   -0.019095631316304207     0.99981456995010376
1714572642.6782343, 0.5618736743927002 0.54593521356582642 0.27971777319908142, -0.0026046885177493095 -0.00014931632904335856   -0.019948048517107964     0.99979764223098755, 0.5618736743927002 0.54593521356582642 0.27971777319908142, -0.0026046885177493095 -0.00014931632904335856   -0.019948048517107964     0.99979764223098755
1714572642.6832306,0.56197410821914673  0.5495331883430481 0.27970770001411438, -0.0024787129368633032 -0.00012539322779048234    -0.02065666951239109     0.99978357553482056,0.56197410821914673  0.5495331883430481 0.27970770001411438, -0.0024787129368633032 -0.00012539322779048234    -0.02065666951239109     0.99978357553482056
1714572642.6882074,0.56201481819152832 0.55310690402984619 0.27969112992286682, -0.0025639766827225685 -0.00018120802997145802   -0.021506471559405327     0.99976539611816406,0.56201481819152832 0.55310690402984619 0.27969112992286682, -0.0025639766827225685 -0.00018120802997145802   -0.021506471559405327     0.99976539611816406
1714572642.6932511,0.56211835145950317 0.55661952495574951 0.27967658638954163, -0.0026103388518095016 -0.00026803466607816517   -0.022001588717103004     0.99975448846817017,0.56211835145950317 0.55661952495574951 0.27967658638954163, -0.0026103388518095016 -0.00026803466607816517   -0.022001588717103004     0.99975448846817017
1714572642.698231,0.56219696998596191 0.56004887819290161 0.27967172861099243, -0.0026407821569591761 -7.3818380769807845e-05   -0.022840740159153938     0.99973565340042114,0.56219696998596191 0.56004887819290161 0.27967172861099243, -0.0026407821569591761 -7.3818380769807845e-05   -0.022840740159153938     0.99973565340042114
1714572642.7032058,  0.562164306640625 0.56177002191543579 0.27967560291290283, -0.0026230532675981522 -9.2935995780862868e-05   -0.023112859576940536     0.99972939491271973,  0.562164306640625 0.56177002191543579 0.27967560291290283, -0.0026230532675981522 -9.2935995780862868e-05   -0.023112859576940536     0.99972939491271973
1714572642.7082059,0.56223750114440918 0.56509417295455933 0.27965575456619263,-0.0027517552953213453 0.00017072602349799126  -0.023795507848262787    0.99971306324005127,0.56223750114440918 0.56509417295455933 0.27965575456619263,-0.0027517552953213453 0.00017072602349799126  -0.023795507848262787    0.99971306324005127
1714572642.7132089,0.56224501132965088 0.56837505102157593  0.2796776294708252,-0.0027608664240688086 0.00021504190226551145  -0.024623371660709381    0.99969297647476196,0.56224501132965088 0.56837505102157593  0.2796776294708252,-0.0027608664240688086 0.00021504190226551145  -0.024623371660709381    0.99969297647476196
1714572642.7182302,0.56222003698348999 0.56996196508407593 0.27965834736824036,-0.0028126793913543224 0.00031720983679406345    -0.0247664675116539    0.99968928098678589,0.56222003698348999 0.56996196508407593 0.27965834736824036,-0.0028126793913543224 0.00031720983679406345    -0.0247664675116539    0.99968928098678589
1714572642.7232049,0.56217771768569946 0.57488161325454712 0.27947062253952026,-0.0028757005929946899 0.00068342429585754871   -0.02607048861682415    0.99965572357177734,0.56217771768569946 0.57488161325454712 0.27947062253952026,-0.0028757005929946899 0.00068342429585754871   -0.02607048861682415    0.99965572357177734
1714572642.7282047,0.56217074394226074 0.57640975713729858 0.27963763475418091,-0.0031197734642773867 0.00067108054645359516   -0.02637726254761219    0.99964696168899536,0.56217074394226074 0.57640975713729858 0.27963763475418091,-0.0031197734642773867 0.00067108054645359516   -0.02637726254761219    0.99964696168899536
1714572642.7332366,0.56209152936935425 0.57952147722244263 0.27972960472106934,-0.0030504798050969839 0.00053366413339972496  -0.026891954243183136     0.9996335506439209,0.56209152936935425 0.57952147722244263 0.27972960472106934,-0.0030504798050969839 0.00053366413339972496  -0.026891954243183136     0.9996335506439209
1714572642.7382307,0.56205230951309204 0.58251780271530151 0.27981922030448914,-0.0030446632299572229 0.00056529912399128079  -0.027666177600622177    0.99961245059967041,0.56205230951309204 0.58251780271530151 0.27981922030448914,-0.0030446632299572229 0.00056529912399128079  -0.027666177600622177    0.99961245059967041
1714572642.7432091,0.56214630603790283 0.58539736270904541 0.27991589903831482,-0.0028982027433812618 0.00059648085152730346  -0.028402397409081459    0.99959218502044678,0.56214630603790283 0.58539736270904541 0.27991589903831482,-0.0028982027433812618 0.00059648085152730346  -0.028402397409081459    0.99959218502044678
1714572642.7482052,0.56208419799804688 0.58697211742401123 0.27975526452064514,-0.0029684407636523247 0.00048036404768936336    -0.0285931546241045    0.99958658218383789,0.56208419799804688 0.58697211742401123 0.27975526452064514,-0.0029684407636523247 0.00048036404768936336    -0.0285931546241045    0.99958658218383789
1714572642.7532041,0.56221508979797363 0.58980298042297363 0.27979254722595215,-0.0026924472767859697 0.00067172833951190114  -0.029324287548661232    0.99956607818603516,0.56221508979797363 0.58980298042297363 0.27979254722595215,-0.0026924472767859697 0.00067172833951190114  -0.029324287548661232    0.99956607818603516
1714572642.7582045,0.56219446659088135 0.59267634153366089 0.27976182103157043, -0.002768900478258729 0.00058063026517629623  -0.029912777245044708    0.99954849481582642,0.56219446659088135 0.59267634153366089 0.27976182103157043, -0.002768900478258729 0.00058063026517629623  -0.029912777245044708    0.99954849481582642
1714572642.782505,0.56231141090393066 0.60761862993240356 0.27924168109893799,-0.0030144688207656145 0.00053960597142577171  -0.033588353544473648     0.9994310736656189,0.56231141090393066 0.60761862993240356 0.27924168109893799,-0.0030144688207656145 0.00053960597142577171  -0.033588353544473648     0.9994310736656189
