RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715791929.475745,0.54598093032836914 0.42670321464538574 0.31975477933883667,-0.48448607325553894  0.51590883731842041  0.51191473007202148 -0.48688256740570068,0.54598093032836914 0.42670321464538574 0.31975477933883667,-0.48448607325553894  0.51590883731842041  0.51191473007202148 -0.48688256740570068
1715791929.4807398,0.54597443342208862 0.42670223116874695 0.31974893808364868,-0.48451676964759827  0.51590216159820557  0.51188826560974121  -0.4868868887424469,0.54597443342208862 0.42670223116874695 0.31974893808364868,-0.48451676964759827  0.51590216159820557  0.51188826560974121  -0.4868868887424469
1715791929.485769,0.54594957828521729 0.42669028043746948  0.3197614848613739,-0.48447445034980774    0.515949547290802  0.51188838481903076 -0.48687872290611267,0.54594957828521729 0.42669028043746948  0.3197614848613739,-0.48447445034980774    0.515949547290802  0.51188838481903076 -0.48687872290611267
1715791929.490746,0.54593640565872192 0.42668741941452026 0.31974413990974426,-0.48457345366477966  0.51596134901046753   0.5117221474647522 -0.48694238066673279,0.54593640565872192 0.42668741941452026 0.31974413990974426,-0.48457345366477966  0.51596134901046753   0.5117221474647522 -0.48694238066673279
1715791929.4957702, 0.5459333062171936 0.42665961384773254 0.31976339221000671,-0.48451092839241028  0.51600885391235352  0.51171207427978516  -0.4869648814201355, 0.5459333062171936 0.42665961384773254 0.31976339221000671,-0.48451092839241028  0.51600885391235352  0.51171207427978516  -0.4869648814201355
1715791929.5007248,0.54593855142593384 0.42667797207832336 0.31973710656166077,-0.48449909687042236  0.51599359512329102  0.51172548532485962 -0.48697870969772339,0.54593855142593384 0.42667797207832336 0.31973710656166077,-0.48449909687042236  0.51599359512329102  0.51172548532485962 -0.48697870969772339
1715791929.5057681,0.54593253135681152 0.42669746279716492 0.31971889734268188,-0.48449331521987915  0.51599353551864624  0.51171261072158813   -0.486998051404953,0.54593253135681152 0.42669746279716492 0.31971889734268188,-0.48449331521987915  0.51599353551864624  0.51171261072158813   -0.486998051404953
1715791929.510767,0.54593300819396973 0.42675581574440002 0.31965893507003784,-0.48446053266525269  0.51599591970443726  0.51171135902404785 -0.48702949285507202,0.54593300819396973 0.42675581574440002 0.31965893507003784,-0.48446053266525269  0.51599591970443726  0.51171135902404785 -0.48702949285507202
1715791929.5157659,0.54590713977813721 0.42684617638587952 0.31964400410652161,-0.48444658517837524  0.51595509052276611  0.51173418760299683 -0.48706263303756714,0.54590713977813721 0.42684617638587952 0.31964400410652161,-0.48444658517837524  0.51595509052276611  0.51173418760299683 -0.48706263303756714
1715791929.5207419, 0.5458945631980896  0.4269467294216156 0.31964480876922607,-0.48442021012306213  0.51593548059463501  0.51176744699478149 -0.48707470297813416, 0.5458945631980896  0.4269467294216156 0.31964480876922607,-0.48442021012306213  0.51593548059463501  0.51176744699478149 -0.48707470297813416
1715791929.5257359, 0.5459020733833313 0.42700240015983582 0.31965675950050354,-0.48441821336746216  0.51592016220092773  0.51179748773574829 -0.48706132173538208, 0.5459020733833313 0.42700240015983582 0.31965675950050354,-0.48441821336746216  0.51592016220092773  0.51179748773574829 -0.48706132173538208
1715791929.5307608,0.54592293500900269 0.42700386047363281 0.31966587901115417,-0.48440882563591003  0.51595181226730347  0.51180309057235718 -0.48703122138977051,0.54592293500900269 0.42700386047363281 0.31966587901115417,-0.48440882563591003  0.51595181226730347  0.51180309057235718 -0.48703122138977051
1715791929.5357358,0.54595571756362915 0.42701029777526855 0.31969588994979858, -0.4844261109828949  0.51598894596099854  0.51181298494338989 -0.48696428537368774,0.54595571756362915 0.42701029777526855 0.31969588994979858, -0.4844261109828949  0.51598894596099854  0.51181298494338989 -0.48696428537368774
1715791929.5407345,0.54598242044448853 0.42701530456542969 0.31967544555664062,-0.48439034819602966  0.51604670286178589  0.51181775331497192 -0.48693367838859558,0.54598242044448853 0.42701530456542969 0.31967544555664062,-0.48439034819602966  0.51604670286178589  0.51181775331497192 -0.48693367838859558
1715791929.5457606,0.54597187042236328 0.42705351114273071 0.31966975331306458,-0.48440402746200562  0.51603055000305176  0.51183724403381348 -0.48691672086715698,0.54597187042236328 0.42705351114273071 0.31966975331306458,-0.48440402746200562  0.51603055000305176  0.51183724403381348 -0.48691672086715698
1715791929.5507658,0.54589164257049561 0.42713397741317749 0.31969934701919556,-0.48445340991020203  0.51601606607437134  0.51180684566497803 -0.48691484332084656,0.54589164257049561 0.42713397741317749 0.31969934701919556,-0.48445340991020203  0.51601606607437134  0.51180684566497803 -0.48691484332084656
1715791929.5557656,0.54587894678115845 0.42717242240905762 0.31968957185745239,-0.48446199297904968  0.51601386070251465  0.51178193092346191 -0.48693481087684631,0.54587894678115845 0.42717242240905762 0.31968957185745239,-0.48446199297904968  0.51601386070251465  0.51178193092346191 -0.48693481087684631
