RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715794019.8668561,0.51251214742660522  1.0732276439666748 0.31631678342819214,-0.48920804262161255  0.51186031103134155  0.50693082809448242 -0.49162554740905762,0.51251214742660522  1.0732276439666748 0.31631678342819214,-0.48920804262161255  0.51186031103134155  0.50693082809448242 -0.49162554740905762
1715794019.8718328,0.51243484020233154  1.0732822418212891 0.31607902050018311,-0.48920685052871704   0.5120270848274231  0.50676870346069336 -0.49162021279335022,0.51243484020233154  1.0732822418212891 0.31607902050018311,-0.48920685052871704   0.5120270848274231  0.50676870346069336 -0.49162021279335022
1715794019.8768294,0.5124046802520752 1.0733081102371216 0.3161049485206604,-0.48904645442962646  0.51194095611572266   0.5068809986114502 -0.49175369739532471,0.5124046802520752 1.0733081102371216 0.3161049485206604,-0.48904645442962646  0.51194095611572266   0.5068809986114502 -0.49175369739532471
1715794019.8818338,0.51239043474197388  1.0732986927032471 0.31606778502464294,-0.48919165134429932  0.51194119453430176  0.50681966543197632 -0.49167218804359436,0.51239043474197388  1.0732986927032471 0.31606778502464294,-0.48919165134429932  0.51194119453430176  0.50681966543197632 -0.49167218804359436
1715794019.8868563,0.51250272989273071  1.0732203722000122 0.31629601120948792,-0.48924022912979126  0.51192927360534668  0.50687652826309204 -0.49157765507698059,0.51250272989273071  1.0732203722000122 0.31629601120948792,-0.48924022912979126  0.51192927360534668  0.50687652826309204 -0.49157765507698059
1715794019.8918324,0.51242738962173462    1.07329261302948 0.31605279445648193, -0.4891822338104248  0.51199620962142944  0.50676149129867554 -0.49168422818183899,0.51242738962173462    1.07329261302948 0.31605279445648193, -0.4891822338104248  0.51199620962142944  0.50676149129867554 -0.49168422818183899
1715794019.8968329,0.51241433620452881  1.0732935667037964 0.31606453657150269,-0.48920762538909912  0.51200079917907715  0.50676733255386353 -0.49164822697639465,0.51241433620452881  1.0732935667037964 0.31606453657150269,-0.48920762538909912  0.51200079917907715  0.50676733255386353 -0.49164822697639465
1715794019.9018352,0.51240825653076172  1.0733014345169067 0.31607967615127563,-0.48909857869148254  0.51195132732391357  0.50687193870544434 -0.49170035123825073,0.51240825653076172  1.0733014345169067 0.31607967615127563,-0.48909857869148254  0.51195132732391357  0.50687193870544434 -0.49170035123825073
1715794019.9068351,0.51245099306106567  1.0732702016830444 0.31607455015182495,-0.48922139406204224  0.51192599534988403  0.50686001777648926  -0.4916168749332428,0.51245099306106567  1.0732702016830444 0.31607455015182495,-0.48922139406204224  0.51192599534988403  0.50686001777648926  -0.4916168749332428
1715794019.9118338,0.51249092817306519  1.0731979608535767 0.31631803512573242,-0.48922353982925415   0.5119054913520813  0.50688892602920532 -0.49160623550415039,0.51249092817306519  1.0731979608535767 0.31631803512573242,-0.48922353982925415   0.5119054913520813  0.50688892602920532 -0.49160623550415039
