RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714663992.2666819,0.51556116342544556 0.46824094653129578 0.28024721145629883,-0.0040342644788324833   0.001408593961969018    0.44681438803672791    0.89461648464202881,0.51556116342544556 0.46824094653129578 0.28024721145629883,-0.0040342644788324833   0.001408593961969018    0.44681438803672791    0.89461648464202881
1714663992.2716784,0.51559156179428101 0.46821737289428711 0.28026804327964783,-0.0039712833240628242  0.0014972625067457557    0.44686755537986755    0.89459007978439331,0.51559156179428101 0.46821737289428711 0.28026804327964783,-0.0039712833240628242  0.0014972625067457557    0.44686755537986755    0.89459007978439331
1714663992.2766769,0.51559281349182129 0.46821928024291992 0.28025630116462708,-0.003998221829533577 0.0015003469306975603   0.44684949517250061   0.89459896087646484,0.51559281349182129 0.46821928024291992 0.28025630116462708,-0.003998221829533577 0.0015003469306975603   0.44684949517250061   0.89459896087646484
1714663992.2816751,0.51559561491012573 0.46822246909141541 0.28023439645767212,-0.0040347292087972164  0.0014208517968654633    0.44680455327033997    0.89462137222290039,0.51559561491012573 0.46822246909141541 0.28023439645767212,-0.0040347292087972164  0.0014208517968654633    0.44680455327033997    0.89462137222290039
1714663992.2866788,0.51560050249099731 0.46820718050003052 0.28024822473526001,-0.0040154852904379368  0.0014015198685228825    0.44681054353713989    0.89461851119995117,0.51560050249099731 0.46820718050003052 0.28024822473526001,-0.0040154852904379368  0.0014015198685228825    0.44681054353713989    0.89461851119995117
1714663992.2916994,0.51561731100082397 0.46820604801177979 0.28026381134986877,-0.0039283004589378834  0.0015607124660164118    0.44684085249900818    0.89460349082946777,0.51561731100082397 0.46820604801177979 0.28026381134986877,-0.0039283004589378834  0.0015607124660164118    0.44684085249900818    0.89460349082946777
1714663992.2966847,0.51557320356369019 0.46824955940246582 0.28026068210601807,-0.0039220675826072693  0.0015961051685735583    0.44686535000801086    0.89459121227264404,0.51557320356369019 0.46824955940246582 0.28026068210601807,-0.0039220675826072693  0.0015961051685735583    0.44686535000801086    0.89459121227264404
1714663992.3016803,0.51556718349456787 0.46829289197921753 0.28023260831832886,-0.0039050292689353228  0.0017040182137861848    0.44683966040611267     0.8946039080619812,0.51556718349456787 0.46829289197921753 0.28023260831832886,-0.0039050292689353228  0.0017040182137861848    0.44683966040611267     0.8946039080619812
1714663992.3066821,0.51551109552383423 0.46837389469146729 0.28025650978088379,-0.0039132013916969299  0.0016490853158757091    0.44683519005775452    0.89460623264312744,0.51551109552383423 0.46837389469146729 0.28025650978088379,-0.0039132013916969299  0.0016490853158757091    0.44683519005775452    0.89460623264312744
1714663992.3116808,0.51547586917877197  0.4684298038482666 0.28033578395843506,-0.0037828385829925537  0.0017204504692927003    0.44695258140563965    0.89454799890518188,0.51547586917877197  0.4684298038482666 0.28033578395843506,-0.0037828385829925537  0.0017204504692927003    0.44695258140563965    0.89454799890518188
1714663992.3166993,0.51551884412765503 0.46842873096466064 0.28035971522331238,-0.0037842539604753256  0.0016010313993319869     0.4468742311000824    0.89458733797073364,0.51551884412765503 0.46842873096466064 0.28035971522331238,-0.0037842539604753256  0.0016010313993319869     0.4468742311000824    0.89458733797073364
1714663992.3216748,0.51554387807846069 0.46842753887176514 0.28034979104995728,-0.0037575908936560154  0.0016715057427063584    0.44683793187141418    0.89460545778274536,0.51554387807846069 0.46842753887176514 0.28034979104995728,-0.0037575908936560154  0.0016715057427063584    0.44683793187141418    0.89460545778274536
