RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714991357.6378398,0.49562746286392212  1.0591936111450195 0.31646847724914551,0.49692827463150024 -0.5042499303817749 -0.4983791708946228 0.50041234493255615,0.49562746286392212  1.0591936111450195 0.31646847724914551,0.49692827463150024 -0.5042499303817749 -0.4983791708946228 0.50041234493255615
1714991357.6428597,0.49564501643180847  1.0591843128204346 0.31648263335227966, 0.49685338139533997 -0.50429242849349976 -0.49837291240692139  0.50045007467269897,0.49564501643180847  1.0591843128204346 0.31648263335227966, 0.49685338139533997 -0.50429242849349976 -0.49837291240692139  0.50045007467269897
1714991357.6478586,0.49561247229576111  1.0592048168182373 0.31651875376701355,  0.4968942403793335 -0.50432765483856201 -0.49826905131340027  0.50047749280929565,0.49561247229576111  1.0592048168182373 0.31651875376701355,  0.4968942403793335 -0.50432765483856201 -0.49826905131340027  0.50047749280929565
1714991357.6528406,0.49563553929328918  1.0592141151428223  0.3164258599281311, 0.49680158495903015 -0.50431293249130249 -0.49832037091255188  0.50053316354751587,0.49563553929328918  1.0592141151428223  0.3164258599281311, 0.49680158495903015 -0.50431293249130249 -0.49832037091255188  0.50053316354751587
1714991357.6578393,0.49565821886062622  1.0591907501220703  0.3164362907409668, 0.49679622054100037 -0.50428390502929688 -0.49837973713874817  0.50050860643386841,0.49565821886062622  1.0591907501220703  0.3164362907409668, 0.49679622054100037 -0.50428390502929688 -0.49837973713874817  0.50050860643386841
1714991357.6628346,0.49562671780586243  1.0591797828674316 0.31646069884300232,  0.4969952404499054 -0.50432300567626953 -0.49829912185668945  0.50035196542739868,0.49562671780586243  1.0591797828674316 0.31646069884300232,  0.4969952404499054 -0.50432300567626953 -0.49829912185668945  0.50035196542739868
1714991357.6678383,0.49567240476608276  1.0591764450073242 0.31644114851951599,  0.4968564510345459 -0.50436508655548096 -0.49831601977348328  0.50043052434921265,0.49567240476608276  1.0591764450073242 0.31644114851951599,  0.4968564510345459 -0.50436508655548096 -0.49831601977348328  0.50043052434921265
1714991357.6728485,0.49564418196678162  1.0591771602630615 0.31643998622894287, 0.49697157740592957 -0.50429826974868774 -0.49835970997810364  0.50033998489379883,0.49564418196678162  1.0591771602630615 0.31643998622894287, 0.49697157740592957 -0.50429826974868774 -0.49835970997810364  0.50033998489379883
1714991357.6778352,0.49570870399475098  1.0591522455215454 0.31638553738594055,  0.4968903660774231 -0.50435030460357666 -0.49835515022277832  0.50037276744842529,0.49570870399475098  1.0591522455215454 0.31638553738594055,  0.4968903660774231 -0.50435030460357666 -0.49835515022277832  0.50037276744842529
1714991357.6828346,  0.495684415102005  1.0591566562652588 0.31642749905586243, 0.49697253108024597 -0.50430154800415039 -0.49832019209861755  0.50037509202957153,  0.495684415102005  1.0591566562652588 0.31642749905586243, 0.49697253108024597 -0.50430154800415039 -0.49832019209861755  0.50037509202957153
1714991357.6879134,0.49569275975227356  1.0591559410095215 0.31645369529724121, 0.49695393443107605 -0.50430440902709961 -0.49836060404777527   0.5003504753112793,0.49569275975227356  1.0591559410095215 0.31645369529724121, 0.49695393443107605 -0.50430440902709961 -0.49836060404777527   0.5003504753112793
1714991357.6928415,0.49568808078765869  1.0591861009597778  0.3164246678352356,   0.496773362159729 -0.50433081388473511 -0.49836644530296326  0.50049734115600586,0.49568808078765869  1.0591861009597778  0.3164246678352356,   0.496773362159729 -0.50433081388473511 -0.49836644530296326  0.50049734115600586
1714991357.6978383,0.49565276503562927  1.0592350959777832 0.31646096706390381, 0.49679973721504211 -0.50443542003631592 -0.49824908375740051  0.50048255920410156,0.49565276503562927  1.0592350959777832 0.31646096706390381, 0.49679973721504211 -0.50443542003631592 -0.49824908375740051  0.50048255920410156
1714991357.7028668,0.49562391638755798  1.0592669248580933 0.31647825241088867, 0.49682760238647461 -0.50445139408111572 -0.49814963340759277  0.50053781270980835,0.49562391638755798  1.0592669248580933 0.31647825241088867, 0.49682760238647461 -0.50445139408111572 -0.49814963340759277  0.50053781270980835
1714991357.7078764,0.49562680721282959  1.0592429637908936 0.31651625037193298, 0.49690020084381104 -0.50446480512619019 -0.49808159470558167  0.50051993131637573,0.49562680721282959  1.0592429637908936 0.31651625037193298, 0.49690020084381104 -0.50446480512619019 -0.49808159470558167  0.50051993131637573
1714991357.7128656,0.49556714296340942  1.0592762231826782 0.31646773219108582, 0.49681806564331055 -0.50445497035980225 -0.49818295240402222  0.50051051378250122,0.49556714296340942  1.0592762231826782 0.31646773219108582, 0.49681806564331055 -0.50445497035980225 -0.49818295240402222  0.50051051378250122
1714991357.7178595, 0.4956115186214447  1.0592454671859741 0.31651151180267334, 0.49685382843017578 -0.50444257259368896   -0.498151034116745   0.5005192756652832, 0.4956115186214447  1.0592454671859741 0.31651151180267334, 0.49685382843017578 -0.50444257259368896   -0.498151034116745   0.5005192756652832
1714991357.7228682,0.49561464786529541  1.0592111349105835 0.31646385788917542, 0.49685463309288025 -0.50448179244995117 -0.49816381931304932  0.50046622753143311,0.49561464786529541  1.0592111349105835 0.31646385788917542, 0.49685463309288025 -0.50448179244995117 -0.49816381931304932  0.50046622753143311
