RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714991361.8359432, 0.5490831732749939 0.43835031986236572 0.31880936026573181,-0.49111822247505188  0.50962996482849121  0.50410193204879761  -0.4949357807636261, 0.5490831732749939 0.43835031986236572 0.31880936026573181,-0.49111822247505188  0.50962996482849121  0.50410193204879761  -0.4949357807636261
1714991361.8409185,0.54906433820724487 0.43832281231880188 0.31884464621543884,-0.49116641283035278   0.5095868706703186  0.50410681962966919 -0.49492734670639038,0.54906433820724487 0.43832281231880188 0.31884464621543884,-0.49116641283035278   0.5095868706703186  0.50410681962966919 -0.49492734670639038
1714991361.8459201,0.54908204078674316 0.43831276893615723 0.31884685158729553,-0.49113866686820984  0.50959855318069458  0.50413137674331665 -0.49491789937019348,0.54908204078674316 0.43831276893615723 0.31884685158729553,-0.49113866686820984  0.50959855318069458  0.50413137674331665 -0.49491789937019348
1714991361.8509424,0.54907059669494629  0.4383428692817688 0.31882154941558838,-0.49114155769348145  0.50959295034408569  0.50411993265151978 -0.49493244290351868,0.54907059669494629  0.4383428692817688 0.31882154941558838,-0.49114155769348145  0.50959295034408569  0.50411993265151978 -0.49493244290351868
1714991361.855926,0.54907715320587158 0.43833410739898682 0.31881982088088989,-0.49114325642585754   0.5096057653427124  0.50410127639770508 -0.49493652582168579,0.54907715320587158 0.43833410739898682 0.31881982088088989,-0.49114325642585754   0.5096057653427124  0.50410127639770508 -0.49493652582168579
1714991361.8609235,0.54903948307037354 0.43833556771278381 0.31887802481651306,-0.49118360877037048  0.50957721471786499  0.50410270690917969 -0.49492445588111877,0.54903948307037354 0.43833556771278381 0.31887802481651306,-0.49118360877037048  0.50957721471786499  0.50410270690917969 -0.49492445588111877
1714991361.8659205, 0.5490075945854187 0.43842631578445435 0.31885197758674622, -0.4910435676574707  0.50956380367279053  0.50411486625671387 -0.49506473541259766, 0.5490075945854187 0.43842631578445435 0.31885197758674622, -0.4910435676574707  0.50956380367279053  0.50411486625671387 -0.49506473541259766
1714991361.8709197,0.54897087812423706  0.4385337233543396 0.31881701946258545,-0.49118706583976746   0.5095449686050415  0.50404685735702515  -0.4950110912322998,0.54897087812423706  0.4385337233543396 0.31881701946258545,-0.49118706583976746   0.5095449686050415  0.50404685735702515  -0.4950110912322998
1714991361.8759475,0.54896217584609985 0.43856939673423767 0.31879663467407227,-0.49119392037391663  0.50955307483673096  0.50401073694229126 -0.49503269791603088,0.54896217584609985 0.43856939673423767 0.31879663467407227,-0.49119392037391663  0.50955307483673096  0.50401073694229126 -0.49503269791603088
1714991361.8809483,0.54897910356521606 0.43863189220428467 0.31879836320877075,-0.49119791388511658  0.50952613353729248  0.50404214859008789 -0.49502447247505188,0.54897910356521606 0.43863189220428467 0.31879836320877075,-0.49119791388511658  0.50952613353729248  0.50404214859008789 -0.49502447247505188
1714991361.8859184,0.54871839284896851 0.43853440880775452  0.3195166289806366,-0.49159911274909973  0.50966364145278931  0.50391429662704468 -0.49461469054222107,0.54871839284896851 0.43853440880775452  0.3195166289806366,-0.49159911274909973  0.50966364145278931  0.50391429662704468 -0.49461469054222107
1714991361.8909328,0.54909932613372803 0.43813112378120422 0.31931072473526001, -0.4913962185382843   0.5095866322517395  0.50431191921234131 -0.49449032545089722,0.54909932613372803 0.43813112378120422 0.31931072473526001, -0.4913962185382843   0.5095866322517395  0.50431191921234131 -0.49449032545089722
1714991361.8959258,0.54883807897567749 0.43850475549697876 0.31950265169143677,-0.49152359366416931  0.50976258516311646  0.50394505262374878 -0.49455639719963074,0.54883807897567749 0.43850475549697876 0.31950265169143677,-0.49152359366416931  0.50976258516311646  0.50394505262374878 -0.49455639719963074
1714991361.9009233,0.54913407564163208 0.43813714385032654 0.31933251023292542,-0.49135959148406982  0.50963771343231201   0.5043109655380249 -0.49447503685951233,0.54913407564163208 0.43813714385032654 0.31933251023292542,-0.49135959148406982  0.50963771343231201   0.5043109655380249 -0.49447503685951233
1714991361.9059234,0.54880404472351074  0.4385705292224884 0.31951421499252319,-0.49158897995948792  0.50971996784210205  0.50393497943878174 -0.49454554915428162,0.54880404472351074  0.4385705292224884 0.31951421499252319,-0.49158897995948792  0.50971996784210205  0.50393497943878174 -0.49454554915428162
1714991361.9109223,0.54907882213592529 0.43824061751365662 0.31933367252349854,-0.49141290783882141  0.50959038734436035  0.50429308414459229 -0.49448913335800171,0.54907882213592529 0.43824061751365662 0.31933367252349854,-0.49141290783882141  0.50959038734436035  0.50429308414459229 -0.49448913335800171
1714991361.9159217,0.54902607202529907 0.43829548358917236   0.319326251745224,-0.49141114950180054  0.50958985090255737  0.50425678491592407 -0.49452844262123108,0.54902607202529907 0.43829548358917236   0.319326251745224,-0.49141114950180054  0.50958985090255737  0.50425678491592407 -0.49452844262123108
1714991361.9209239,0.54900044202804565 0.43829599022865295 0.31931591033935547,-0.49142551422119141  0.50957220792770386  0.50423645973205566  -0.4945530891418457,0.54900044202804565 0.43829599022865295 0.31931591033935547,-0.49142551422119141  0.50957220792770386  0.50423645973205566  -0.4945530891418457
1714991361.9259229,0.54867792129516602 0.43867895007133484 0.31950178742408752,-0.49161890149116516   0.5096890926361084  0.50386655330657959 -0.49461737275123596,0.54867792129516602 0.43867895007133484 0.31950178742408752,-0.49161890149116516   0.5096890926361084  0.50386655330657959 -0.49461737275123596
1714991361.9309196,0.54867631196975708 0.43865790963172913 0.31952166557312012,-0.49163490533828735  0.50966024398803711  0.50389611721038818 -0.49460110068321228,0.54867631196975708 0.43865790963172913 0.31952166557312012,-0.49163490533828735  0.50966024398803711  0.50389611721038818 -0.49460110068321228
1714991361.9359248,0.54900801181793213 0.43826037645339966 0.31933647394180298,-0.49145963788032532  0.50953608751296997  0.50429695844650269 -0.49449464678764343,0.54900801181793213 0.43826037645339966 0.31933647394180298,-0.49145963788032532  0.50953608751296997  0.50429695844650269 -0.49449464678764343
