time,z_o,y_o,x_o,z_eef,y_eef,x_eef,flux
1718117937.255,0.36048704385757446,0.31234681606292725,0.39884570240974426,0.2162652313709259,0.5531765818595886,-0.051484283059835434,0.00022970110876485705
1718117937.258,0.36049431562423706,0.3123476207256317,0.398846834897995,0.21626456081867218,0.5531758069992065,-0.05148421600461006,0.00022099843772593886
1718117937.263,0.3604099750518799,0.3123697340488434,0.3988603949546814,0.21626387536525726,0.5531750321388245,-0.05148419737815857,0.0002150074578821659
1718117937.269,0.3604687750339508,0.31237930059432983,0.39885014295578003,0.21626324951648712,0.5531742572784424,-0.05148418992757797,0.0002088164765154943
1718117937.275,0.36049047112464905,0.3123837411403656,0.3988480865955353,0.2162625938653946,0.5531733632087708,-0.051484208554029465,0.0002075878728646785
1718117937.28,0.3604946434497833,0.3123818635940552,0.3988448977470398,0.21625681221485138,0.5531695485115051,-0.051454152911901474,0.0011677209986373782
1718117937.283,0.3604983687400818,0.31237682700157166,0.39884620904922485,0.2162662297487259,0.5531652569770813,-0.05101018771529198,0.017139824107289314
1718117937.288,0.3605116605758667,0.3123832941055298,0.3988396227359772,0.21634717285633087,0.5531951189041138,-0.05054530128836632,0.030895760282874107
1718117937.294,0.3605269193649292,0.3123890459537506,0.3988321125507355,0.2164267897605896,0.5531700849533081,-0.05011526495218277,0.04069226607680321
1718117937.299,0.36054688692092896,0.3123871386051178,0.3988332152366638,0.21652033925056458,0.553113579750061,-0.04970470070838928,0.04798578843474388
1718117937.305,0.3605610728263855,0.3123892843723297,0.3988257050514221,0.21681593358516693,0.5529693365097046,-0.04856245219707489,0.07035748660564423
1718117937.308,0.3605596721172333,0.3123956620693207,0.3988211154937744,0.21701520681381226,0.5528764724731445,-0.047780927270650864,0.08600195497274399
1718117937.313,0.36058124899864197,0.31239598989486694,0.39883190393447876,0.21701520681381226,0.5528764724731445,-0.047780927270650864,0.08600195497274399
1718117937.319,0.36058926582336426,0.3123818635940552,0.39883503317832947,0.21746324002742767,0.5526180863380432,-0.045973796397447586,0.11723022162914276
1718117937.324,0.360595703125,0.31237804889678955,0.3988560438156128,0.21746324002742767,0.5526180863380432,-0.045973796397447586,0.11723022162914276
1718117937.33,0.36059921979904175,0.31238290667533875,0.39888429641723633,0.2177363932132721,0.5524688363075256,-0.04493529722094536,0.13348494470119476
1718117937.333,0.36060869693756104,0.3124178647994995,0.39886048436164856,0.21836568415164948,0.5521591305732727,-0.042408060282468796,0.1724422127008438
1718117937.338,0.36067602038383484,0.31240949034690857,0.3988130986690521,0.21836568415164948,0.5521591305732727,-0.042408060282468796,0.1724422127008438
1718117937.344,0.36066991090774536,0.31245097517967224,0.39882582426071167,0.21870815753936768,0.552000105381012,-0.040944937616586685,0.19328078627586365
1718117937.35,0.3606851398944855,0.3124677538871765,0.3988032639026642,0.21901573240756989,0.5518442392349243,-0.03941842541098595,0.21190211176872253
1718117937.355,0.3607080280780792,0.3124014139175415,0.398838609457016,0.21948708593845367,0.5516043901443481,-0.036261994391679764,0.24104656279087067
1718117937.358,0.36070507764816284,0.31239011883735657,0.3988606035709381,0.21948708593845367,0.5516043901443481,-0.036261994391679764,0.24104656279087067
1718117937.363,0.360704630613327,0.3123825788497925,0.3988894522190094,0.21963024139404297,0.5515610575675964,-0.034557804465293884,0.25516870617866516
1718117937.369,0.3606976568698883,0.31238844990730286,0.3989379405975342,0.21969188749790192,0.5515848398208618,-0.032718271017074585,0.2709861099720001
1718117937.374,0.36067894101142883,0.31238967180252075,0.39898040890693665,0.21954844892024994,0.5518404245376587,-0.028715379536151886,0.3045766055583954
1718117937.38,0.36066797375679016,0.31238874793052673,0.3990134596824646,0.2193411886692047,0.5520616173744202,-0.026571350172162056,0.321999728679657
1718117937.383,0.36064812541007996,0.312391072511673,0.39902839064598083,0.21907417476177216,0.5523330569267273,-0.024292318150401115,0.3414044976234436
1718117937.388,0.3606632947921753,0.3124006688594818,0.3990185558795929,0.21907417476177216,0.5523330569267273,-0.024292318150401115,0.3414044976234436
1718117937.394,0.36063724756240845,0.31240323185920715,0.39898961782455444,0.21834617853164673,0.5530375242233276,-0.019437264651060104,0.3809487521648407
1718117937.399,0.360649436712265,0.3124077618122101,0.3989403247833252,0.21834617853164673,0.5530375242233276,-0.019437264651060104,0.3809487521648407
1718117937.405,0.36065223813056946,0.3124087452888489,0.3988974690437317,0.21786954998970032,0.5534352660179138,-0.016941357403993607,0.3982386291027069
1718117937.408,0.36066555976867676,0.3124004900455475,0.39887934923171997,0.21736647188663483,0.5538649559020996,-0.01434492040425539,0.41617220640182495
1718117937.413,0.3606835901737213,0.3124000132083893,0.39887571334838867,0.2163313776254654,0.5547756552696228,-0.008798273280262947,0.45437175035476685
1718117937.419,0.3607027530670166,0.3124120533466339,0.39884403347969055,0.2163313776254654,0.5547756552696228,-0.008798273280262947,0.45437175035476685
1718117937.424,0.36070603132247925,0.3123489022254944,0.3989230692386627,0.2151816487312317,0.555597722530365,-0.0031073708087205887,0.48370927572250366
1718117937.43,0.3607141375541687,0.3123577833175659,0.3989473879337311,0.2146342694759369,0.5559521913528442,-0.00010498567280592397,0.49926766753196716
1718117937.433,0.3607192039489746,0.3123573660850525,0.3989543616771698,0.2146342694759369,0.5559521913528442,-0.00010498567280592397,0.49926766753196716
1718117937.438,0.36072611808776855,0.31235963106155396,0.3989590108394623,0.21410882472991943,0.5562828183174133,0.002992455381900072,0.5148898363113403
1718117937.444,0.36073797941207886,0.31236135959625244,0.3989448845386505,0.21362920105457306,0.5565809607505798,0.006149217952042818,0.5291338562965393
