Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
20,2024-05-06_15:31:11__clean_paper,69,7,0.57,0.6426973342895508,0.2901613600264409,4.376489888741626,"[0.55368406, 0.31273168, 0.22001478]","[0.57935828, 0.29728061, 0.1922985]","[-0.00237865839, 0.000604958273, -0.00569194416, 0.999980807]","[-0.69866866, -0.00795197, 0.00255307, 0.71539664]","[0.5533542, 0.42374876, 0.2801778]","[0.43083751, 0.68676889, 0.27825755]"
21,2024-05-15_14:20:51__clean_paper,459,7,0.558,0.6467349529266357,0.2765693546614821,4.3656880902129975,"[0.53614354, 0.30647469, 0.21995991]","[0.55391121, 0.29226604, 0.20414771]","[-0.00422411, 0.00124932, -0.00207942, 0.99998814]","[-0.71051174, -0.00204564, -0.00332563, 0.7036745]","[0.53628236, 0.41735777, 0.27966934]","[0.49228609, 0.69039953, 0.27789852]"
22,2024-05-06_14:23:00__clean_paper,31,7,0.571,0.6498525142669678,0.3352396879485229,4.361327298296246,"[0.5782367, 0.30393589, 0.22021201]","[0.589894, 0.28729767, 0.1983957]","[-0.00317998277, 0.000885111163, -0.021056287, 0.999772847]","[-0.70264649, -0.00431309, -0.00174595, 0.71152389]","[0.57806945, 0.41451403, 0.28010339]","[0.42615226, 0.7133497, 0.27808812]"
23,2024-05-06_14:23:00__clean_paper,33,7,0.577,0.6513417959213257,0.3043977847845788,4.352087010528649,"[0.57753843, 0.29972893, 0.22032923]","[0.60315949, 0.28414804, 0.19739157]","[-0.0035153986, 0.000798365683, -0.0149249332, 0.999882102]","[-0.70399797, -0.00763874, 0.00587373, 0.71013659]","[0.57721561, 0.41105512, 0.28049085]","[0.42340815, 0.67372739, 0.2783573]"
24,2024-05-07_18:04:00__clean_paper,265,7,0.581,0.6566300988197327,0.3190376500920603,4.389935723737735,"[0.55196679, 0.31306368, 0.2201795]","[0.57059038, 0.30188465, 0.19814414]","[-0.00366415759, 0.000814244791, 0.000127751497, 0.999992967]","[-0.70252389, -0.00287355, 0.0016199, 0.71165252]","[0.5519253, 0.42515653, 0.27978697]","[0.49172267, 0.73845649, 0.27783644]"
25,2024-05-06_15:31:11__clean_paper,83,7,0.587,0.6589639186859131,0.2713933818800028,4.382254513844266,"[0.5488652, 0.31623489, 0.22000456]","[0.56964535, 0.2985805, 0.19668071]","[-0.00223061861, 0.000670376467, -0.0174299199, 0.999845386]","[-0.70137095, -0.00349363, 0.00271713, 0.71278274]","[0.54877055, 0.4267945, 0.28019235]","[0.4198257, 0.66559136, 0.27828065]"
26,2024-05-15_14:20:51__clean_paper,441,7,0.586,0.6627751588821411,0.2908737224310905,4.40820758956298,"[0.5357092, 0.30784571, 0.21994039]","[0.55013353, 0.29752913, 0.22518311]","[-0.00415442, 0.00101626, -0.00142037, 0.99998987]","[-0.70945549, -0.00178926, -0.00253265, 0.70474344]","[0.53530008, 0.41922617, 0.27985808]","[0.50144899, 0.7081182, 0.27812001]"
27,2024-05-15_14:20:51__clean_paper,433,7,0.592,0.6644706726074219,0.2879220323680989,4.412335128015771,"[0.5472191, 0.30465424, 0.21969655]","[0.55035931, 0.29662728, 0.22879857]","[-0.00488606282, 0.000551860139, -0.00690312916, 0.999964058]","[-0.70898885, -0.00196133, -0.00398746, 0.70520568]","[0.54110628, 0.41785121, 0.2798622]","[0.48286819, 0.69981724, 0.27825618]"
28,2024-05-07_18:04:00__clean_paper,261,7,0.593,0.6680783629417419,0.3588378741319926,4.392257557808481,"[0.55638647, 0.31506652, 0.21936178]","[0.57234561, 0.3022126, 0.19721717]","[-0.00283491658, 0.000657412922, 0.00240592752, 0.999992847]","[-0.702070057, -0.00178950594, 0.000335070508, 0.712105572]","[0.56121886, 0.42706841, 0.27989179]","[0.53299844, 0.78478891, 0.27782393]"
29,2024-05-06_14:23:00__clean_paper,43,7,0.596,0.670620858669281,0.4053097504313617,4.360311127856999,"[0.56873721, 0.30048865, 0.22036439]","[0.57110804, 0.285431, 0.20353045]","[-0.00327315694, 0.00079842034, -0.00751896901, 0.999966085]","[-0.70430773, -0.00248948, -0.0014425, 0.70988894]","[0.56857187, 0.41138548, 0.28026906]","[0.47936493, 0.80674917, 0.27788776]"
30,2024-05-07_18:04:00__clean_paper,257,7,0.599,0.6753265261650085,0.270184625737878,4.436727336243248,"[0.55118245, 0.3198325, 0.21989051]","[0.55011958, 0.30634671, 0.22681272]","[-0.00466878, 0.00112782, 0.00117527, 0.99998778]","[-0.70901078, -0.000188375067, -0.00482704397, 0.705181122]","[0.55078965, 0.43097472, 0.27974379]","[0.56508338, 0.70077723, 0.27832025]"
31,2024-05-15_14:20:51__clean_paper,429,7,0.603,0.6778693199157715,0.3235935769772586,4.398129829275486,"[0.53661466, 0.30719382, 0.22009572]","[0.55165964, 0.29424009, 0.22060402]","[-0.0035344502, 0.000838839216, -0.00239606644, 0.999990523]","[-0.70723778, -0.00126417866, -0.000354488759, 0.706974566]","[0.53655738, 0.41866359, 0.27981272]","[0.48369178, 0.73790359, 0.27785009]"
32,2024-05-06_15:31:11__clean_paper,107,7,0.607,0.6815050840377808,0.3771358162520142,4.388476819641666,"[0.55575544, 0.31156301, 0.22017744]","[0.57363456, 0.30204767, 0.19495004]","[-0.00154968724, 0.000716949929, 0.00224301172, 0.999996006]","[-0.70098925, -0.00320168, 0.00194897, 0.71316195]","[0.55544233, 0.42292461, 0.28025258]","[0.49692222, 0.79548633, 0.2781117]"
33,2024-05-06_14:23:00__clean_paper,47,7,0.607,0.6848191022872925,0.3440780335315672,4.36294717877477,"[0.57292378, 0.30530101, 0.22032925]","[0.58862317, 0.28755301, 0.20150915]","[-0.00276124547, 0.000956743432, -0.0193243101, 0.999809027]","[-0.702654362, -0.00448659435, 0.000172743443, 0.711517155]","[0.57304454, 0.41642484, 0.2802811]","[0.41421455, 0.7216416, 0.27794483]"
34,2024-05-06_14:23:00__clean_paper,49,7,0.608,0.6896348595619202,0.4358332437294656,4.37177141560954,"[0.55934966, 0.30506051, 0.22023514]","[0.56043118, 0.29307416, 0.19866201]","[-0.00359480083, 0.000991016626, -0.00443554251, 0.999983191]","[-0.707453668, 0.000337940961, -0.0065121837, 0.70672965]","[0.5593136, 0.41628423, 0.28017643]","[0.53215468, 0.85126317, 0.27765885]"
35,2024-05-08_14:15:56__clean_paper,159,7,0.623,0.6916612386703491,0.3052198462992528,4.395259667246162,"[0.55278718, 0.30621415, 0.22046983]","[0.56354702, 0.29799902, 0.2101748]","[-0.00291802292, 0.000854651851, -0.00396366697, 0.999987543]","[-0.70516616, -0.0026316, -0.00218505, 0.70903385]","[0.55297101, 0.41733468, 0.28034386]","[0.49600825, 0.71718782, 0.27876604]"
36,2024-05-07_18:04:00__clean_paper,255,7,0.622,0.6945337057113647,0.3183897024575147,4.415199174183905,"[0.55157244, 0.31549436, 0.21951634]","[0.55367446, 0.30383259, 0.22202656]","[-0.00505735632, 0.000993945519, 0.00138318783, 0.999985754]","[-0.70740217, -0.0002182928, -0.00389531138, 0.706800461]","[0.55229789, 0.42516047, 0.27991691]","[0.56318927, 0.74335974, 0.27830425]"
37,2024-05-06_15:31:11__clean_paper,119,7,0.624,0.6968935132026672,0.3383003948081517,4.395004345633288,"[0.55817425, 0.31080365, 0.2203123]","[0.56093556, 0.29532549, 0.2168659]","[-0.00364574115, 0.000887627888, -0.00459785433, 0.999982417]","[-0.70651877, -0.00345683, -0.00452071, 0.7076714]","[0.55812585, 0.42149335, 0.28011426]","[0.51347905, 0.75682968, 0.2782791]"
38,2024-05-06_14:23:00__clean_paper,55,7,0.623,0.7002699971199036,0.3612527258568973,4.365321470941142,"[0.58098358, 0.30343574, 0.22026691]","[0.60224283, 0.28752068, 0.19507471]","[-0.0038924187, 0.00091913942, -0.0104139615, 0.999937773]","[-0.69832587, -0.00878483, 0.00210709, 0.71572298]","[0.58111107, 0.41379881, 0.2801612]","[0.42378619, 0.73898619, 0.27779931]"
39,2024-05-06_14:23:00__clean_paper,63,7,0.631,0.7032277584075928,0.4101783964886552,4.360061833233355,"[0.55319744, 0.30086714, 0.22018582]","[0.57180518, 0.2878269, 0.19271477]","[-0.00224510767, 0.000315962097, -0.000614251883, 0.999997258]","[-0.69776362, -0.00648295, 0.00302974, 0.71629238]","[0.55275321, 0.41229603, 0.28046766]","[0.41952598, 0.8002246, 0.27759662]"
40,2024-05-06_15:31:11__clean_paper,117,7,0.624,0.7063184976577759,0.3286022413259635,4.392032478684277,"[0.55912775, 0.31197739, 0.22031882]","[0.56133747, 0.29839033, 0.20887558]","[-0.00324873975, 0.000675739953, -0.0121489987, 0.999920666]","[-0.70716476, 0.00148141, -0.00252026, 0.70704275]","[0.55907488, 0.42268223, 0.28002322]","[0.48083666, 0.7418291, 0.27815548]"
41,2024-05-15_14:20:51__clean_paper,411,7,0.626,0.7117626070976257,0.3040155834501605,4.369601772196192,"[0.54825306, 0.30730689, 0.22002685]","[0.56592631, 0.29335201, 0.2056246]","[-0.00360574666, 0.000702814257, -0.00991842151, 0.999944091]","[-0.70713145, -0.00070982, 0.00171277, 0.70707965]","[0.5479427, 0.41811544, 0.27996355]","[0.4479188, 0.70519894, 0.27802563]"
