Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
0,2024-05-16_13:49:02__clean,40,7,0.702,0.7705098986625671,0.3035406987824238,4.606393708565951,"[0.58177215, 0.15525806, 0.22124979]","[0.61509109, 0.12784505, 0.20958212]","[-0.00386787532, 0.000148099105, -0.00155946438, 0.999991298]","[-0.70724523, -0.00984781, 0.00857711, 0.70684767]","[0.58180904, 0.25537091, 0.28137958]","[0.47343865, 0.53889608, 0.27887115]"
1,2024-05-16_13:49:02__clean,30,7,0.641,0.7150065302848816,0.3341516618343701,4.630827827447369,"[0.58505374, 0.15693069, 0.22130588]","[0.61766404, 0.13403928, 0.20767435]","[-0.00425867829, 2.49301556e-05, 0.0135388412, 0.999899268]","[-0.70695323, -0.00964431, 0.00718639, 0.70715803]","[0.58480078, 0.25728536, 0.28148374]","[0.54190004, 0.5886659, 0.27953613]"
2,2024-05-16_13:49:02__clean,14,7,0.571,0.5851064920425415,0.2268764703350278,4.496344539321235,"[0.59394711, 0.15096319, 0.22134739]","[0.63398337, 0.12502068, 0.19861019]","[-0.00327998819, 0.000247694697, 0.00565626472, 0.999978602]","[-0.70505565, -0.02240192, 0.01427432, 0.70865434]","[0.59375286, 0.25186774, 0.28156805]","[0.49809319, 0.45758408, 0.27985153]"
3,2024-05-16_13:49:02__clean,35,7,0.675,0.7620558142662048,0.3565959984955349,4.656521047366523,"[0.58690852, 0.1567075, 0.22136155]","[0.6176964, 0.13467021, 0.21762985]","[-0.00437516253, 0.000264299946, 0.00353912637, 0.999984145]","[-0.70692873, -0.00320461, 0.0016681, 0.70727557]","[0.58674461, 0.25772843, 0.28169498]","[0.52778602, 0.60940647, 0.27902207]"
4,2024-05-16_13:49:02__clean,61,7,0.811,0.8772764801979065,0.5299856223118012,4.740537466385304,"[0.58361697, 0.16276714, 0.22139111]","[0.60089248, 0.13861732, 0.20416768]","[-0.00391237019, -6.73777977e-05, 0.00306980498, 0.999987662]","[-0.70418417, -0.00449376, -0.00864024, 0.70995057]","[0.58344769, 0.26318789, 0.28157303]","[0.56262904, 0.79275727, 0.27881485]"
5,2024-05-16_13:49:02__clean,153,7,0.52,0.5340574979782104,0.1848112805002277,4.576346251768497,"[0.58777374, 0.16047513, 0.22134998]","[0.62638569, 0.13311739, 0.19450457]","[-0.00255829422, 0.000462417695, -0.00230057049, 0.99999398]","[-0.69273108, -0.01956552, 0.00403202, 0.72091925]","[0.58781266, 0.2607893, 0.28131786]","[0.50362444, 0.42530584, 0.27995363]"
6,2024-05-16_13:49:02__clean,4,7,0.523,0.6130052208900452,0.2407857084167944,4.692236185899043,"[0.56837362, 0.14938942, 0.22145474]","[0.59542602, 0.12140926, 0.23819157]","[-0.00382393226, 0.000383312174, 0.00535962731, 0.999978244]","[-0.70353186, 0.01397363, -0.00099058, 0.71052563]","[0.56859142, 0.24932429, 0.28110161]","[0.58440113, 0.4895874, 0.27989706]"
7,2024-05-16_13:49:02__clean,7,7,0.541,0.6219708919525146,0.2493095609287274,4.650465227638271,"[0.58743662, 0.15318686, 0.22157475]","[0.61941993, 0.13223611, 0.22553445]","[-0.00383063685, -0.000352142873, 0.010425874, 0.99993825]","[-0.707099259, 0.00262959767, 0.000432875648, 0.707109272]","[0.58709037, 0.25407973, 0.28192481]","[0.59038252, 0.50336033, 0.2800273]"
8,2024-05-16_13:49:02__clean,46,7,0.728,0.8160739541053772,0.3431995137056421,4.729911157782174,"[0.58980584, 0.16290238, 0.22136119]","[0.60611558, 0.13576058, 0.22606078]","[-0.00534932502, 0.000462217984, -0.00285833841, 0.999981523]","[-0.71043622, 0.01111573, -0.00366294, 0.70366424]","[0.58964992, 0.26404124, 0.28155974]","[0.59848726, 0.60712141, 0.27960798]"
9,2024-05-16_13:49:02__clean,60,7,0.806,0.8831851482391357,0.4352092949293458,4.655868144359193,"[0.59519291, 0.16267619, 0.22139239]","[0.61898035, 0.13504867, 0.21473715]","[-0.00414171256, -3.73988441e-05, -0.00119212526, 0.999990702]","[-0.710616529, 0.000555287639, 0.000742883247, 0.703578889]","[0.59485018, 0.26297423, 0.2816267]","[0.54375547, 0.6951651, 0.27888501]"
