time,z_o,y_o,x_o,z_eef,y_eef,x_eef,flux
1718118044.271,0.3266932964324951,0.31825754046440125,0.45210349559783936,0.226777121424675,0.526152491569519,0.005116164684295654,0.0006815965170972049
1718118044.276,0.3266933262348175,0.31825438141822815,0.452102392911911,0.23097047209739685,0.5204250812530518,0.025108041241765022,0.3002708852291107
1718118044.282,0.3266933858394623,0.31825515627861023,0.4520975351333618,0.23157085478305817,0.5184163451194763,0.036385130137205124,0.3833751976490021
1718118044.286,0.3266964554786682,0.31824955344200134,0.45209115743637085,0.22710175812244415,0.5217072367668152,0.09813110530376434,0.656967282295227
1718118044.29,0.3266964852809906,0.3182532787322998,0.45208942890167236,0.22956523299217224,0.5180693864822388,0.19077156484127045,0.8433802723884583
1718118044.296,0.3266984224319458,0.3182554543018341,0.4520869255065918,0.22821959853172302,0.5138895511627197,0.2398938238620758,0.8968689441680908
1718118044.301,0.32670435309410095,0.31825023889541626,0.4520816206932068,0.23359106481075287,0.504273533821106,0.31093791127204895,0.9438517093658447
1718118044.307,0.3267095685005188,0.3182509243488312,0.45207640528678894,0.23560187220573425,0.4999426603317261,0.34094318747520447,0.9278473258018494
1718118044.312,0.32671016454696655,0.31824514269828796,0.4520654082298279,0.23635590076446533,0.4966285228729248,0.36054226756095886,0.9216373562812805
1718118044.314,0.32671424746513367,0.31825363636016846,0.4520657956600189,0.2379216104745865,0.49232739210128784,0.38970962166786194,0.9124693274497986
1718118044.32,0.32670649886131287,0.31824854016304016,0.4520394802093506,0.23904775083065033,0.4920254051685333,0.41073015332221985,0.8170677423477173
1718118044.326,0.32670772075653076,0.31825166940689087,0.45202282071113586,0.23941901326179504,0.4936959743499756,0.42503684759140015,0.7155362367630005
1718118044.332,0.3267059624195099,0.31824854016304016,0.4520103335380554,0.23962841928005219,0.49421870708465576,0.42837944626808167,0.6956784725189209
1718118044.334,0.3267081081867218,0.31824567914009094,0.45200279355049133,0.2407044768333435,0.5035123229026794,0.45189207792282104,0.44322529435157776
1718118044.339,0.3267102539539337,0.31824424862861633,0.451994925737381,0.2413465678691864,0.5086629986763,0.4618615508079529,0.2258673459291458
1718118044.345,0.32671669125556946,0.31824353337287903,0.4519953727722168,0.23889096081256866,0.5088232755661011,0.4640585482120514,0.09671059250831604
1718118044.35,0.326727956533432,0.31825318932533264,0.45200315117836,0.22677601873874664,0.5261519551277161,0.005117014981806278,0.0007932097651064396
1718118044.357,0.3267330527305603,0.3182501792907715,0.45201730728149414,0.22677810490131378,0.5261531472206116,0.005115869455039501,0.0005757317994721234
1718118044.361,0.3267383277416229,0.3182608485221863,0.45203328132629395,0.2267787605524063,0.5261535048484802,0.0051163542084395885,0.00046031997771933675
1718118044.364,0.326739639043808,0.31825974583625793,0.4520363211631775,0.22677825391292572,0.5261428952217102,0.005149084609001875,0.0009457827545702457
1718118044.371,0.32674798369407654,0.31827205419540405,0.4520670473575592,0.22680288553237915,0.5260227918624878,0.005676876287907362,0.020535524934530258
1718118044.376,0.32674887776374817,0.3182666301727295,0.45209041237831116,0.22690579295158386,0.5259798765182495,0.006185109727084637,0.03524181246757507
1718118044.382,0.32674068212509155,0.31826090812683105,0.4521172046661377,0.22698257863521576,0.5258731842041016,0.00659922556951642,0.04399384558200836
1718118044.387,0.32673025131225586,0.3182542324066162,0.45213937759399414,0.22705712914466858,0.5257168412208557,0.007005224470049143,0.051132526248693466
1718118044.389,0.3267219364643097,0.3182530999183655,0.45215320587158203,0.22720098495483398,0.5255340933799744,0.007548644673079252,0.062384478747844696
1718118044.396,0.3267036974430084,0.31824928522109985,0.45217829942703247,0.2273751199245453,0.525326669216156,0.008249775506556034,0.07732642441987991
1718118044.4,0.32668426632881165,0.31824594736099243,0.4521772265434265,0.22756099700927734,0.525079071521759,0.009057410061359406,0.09343412518501282
1718118044.407,0.32668575644493103,0.31824991106987,0.45215848088264465,0.2277533859014511,0.524795413017273,0.009948404505848885,0.10959435999393463
1718118044.412,0.3266903758049011,0.3182657063007355,0.4521588683128357,0.22797395288944244,0.5244801044464111,0.01096324436366558,0.12729817628860474
1718118044.414,0.3266964852809906,0.3182680606842041,0.45213407278060913,0.22823461890220642,0.524122953414917,0.012132884934544563,0.14748667180538177
1718118044.421,0.32669883966445923,0.3182717263698578,0.45209580659866333,0.2285376936197281,0.5237330794334412,0.013452139683067799,0.16940751671791077
1718118044.426,0.3267011046409607,0.31826362013816833,0.4520660936832428,0.2288719117641449,0.5233213901519775,0.014890930615365505,0.1914892941713333
1718118044.432,0.32669949531555176,0.31825676560401917,0.4520360827445984,0.22921538352966309,0.5228771567344666,0.01640925370156765,0.21227625012397766
1718118044.437,0.32670795917510986,0.3182530105113983,0.4520198106765747,0.22957222163677216,0.5224082469940186,0.017992889508605003,0.23149092495441437
1718118044.44,0.32671165466308594,0.31824663281440735,0.45200398564338684,0.2299400269985199,0.5219268798828125,0.019625740125775337,0.24875712394714355
1718118044.446,0.3267287015914917,0.31825125217437744,0.4520011842250824,0.2303035855293274,0.521433413028717,0.021336834877729416,0.2653399407863617
1718118044.451,0.32674360275268555,0.31826913356781006,0.4520171880722046,0.23064884543418884,0.520926833152771,0.02315739542245865,0.2823641896247864
1718118044.457,0.32674649357795715,0.31827107071876526,0.4520241916179657,0.2312408685684204,0.5199286341667175,0.0271745752543211,0.31827741861343384
1718118044.461,0.3267490565776825,0.318271666765213,0.4520382881164551,0.23155248165130615,0.5190646648406982,0.03158271312713623,0.35119131207466125
