Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
0,50_hits-config_1-object_2,21,7,1,0.7680674195289612,0.5947309492334802,4.598039767173963,[0.55856937 0.31155437 0.21883675],[0.53354448 0.29394245 0.18246938],[-0.49391535  0.50494987  0.50135273 -0.49971861],[-0.73713154  0.00496097 -0.00182147  0.67572856],[0.55857247 0.42230013 0.31861812],[0.57865512 1.01668906 0.31677786]
1,50_hits-config_1-object_2,31,7,1,0.7691163420677185,0.5999816624181925,4.6108400892227435,[0.5568946  0.31086421 0.21881706],[0.53297096 0.29976863 0.18433464],[ 0.4938361  -0.50520045 -0.50060874  0.5002892 ],[-0.74042308  0.00505169 -0.00314801  0.67211473],[0.55674767 0.42214668 0.31883088],[0.56803119 1.02201843 0.31669652]
2,50_hits-config_1-object_2,44,7,1,0.7718278169631958,0.5967062457910622,4.581282029751872,[0.55700648 0.31128597 0.2187309 ],[0.53257531 0.293235   0.18493102],[ 0.49490219 -0.50382423 -0.50071865  0.50051349],[-0.73846263  0.00599429 -0.00266843  0.67426246],[0.55697823 0.42181924 0.31848207],[0.57285315 1.01831102 0.31651169]
3,50_hits-config_1-object_2,6,7,1,0.7698365449905396,0.612975110131223,4.598636215061663,[0.55846328 0.30948538 0.21888831],[0.53391457 0.29775143 0.18374647],[-0.49042407  0.5089699   0.50266719 -0.49775451],[-0.73875719  0.00513832 -0.00347549  0.6739431 ],[0.55851525 0.42122456 0.31889078],[0.55970377 1.03419447 0.31666178]
4,50_hits-config_1-object_2,4,7,1,0.7669321894645691,0.6046414915692137,4.603500214813067,[0.55792284 0.31095362 0.21873909],[0.53377849 0.29539359 0.18206419],[-0.49314696  0.50560218  0.5023101  -0.49885583],[-0.73745733  0.00485489 -0.00238624  0.67537206],[0.55786365 0.42154551 0.31849095],[0.57005274 1.02606106 0.31656581]
5,50_hits-config_1-object_2,8,7,1,0.7716014385223389,0.6182427689136368,4.573740668262698,[0.55895209 0.31048083 0.21890053],[0.53469974 0.29163054 0.18450575],[-0.49314535  0.50592571  0.50199908 -0.49884245],[-0.73806471  0.00550798 -0.00371405  0.67469722],[0.55906743 0.42097193 0.3184469 ],[0.56730014 1.03915644 0.31638312]
6,50_hits-config_1-object_2,28,7,1,0.768415093421936,0.5977122112850872,4.591528619712913,[0.5568288  0.31176269 0.21881917],[0.53473318 0.29767895 0.1844746 ],[ 0.49313745 -0.50596231 -0.50077331  0.50004369],[-0.73870516  0.00483601 -0.00289948  0.67400509],[0.55659878 0.42322826 0.31881219],[0.5605678  1.0209223  0.31636888]
7,50_hits-config_1-object_2,51,7,1,0.7669540643692017,0.5752313856506535,4.5824701536911805,[0.55741328 0.31168908 0.21884549],[0.53481072 0.29401663 0.18405411],[-0.49235928  0.50701803  0.50222945 -0.49827769],[-0.73711926  0.00494181 -0.00084342  0.67574406],[0.55720878 0.42271951 0.31881461],[0.55680645 0.9979462  0.31652653]
8,50_hits-config_1-object_2,23,7,1,0.7669363617897034,0.6082733679126162,4.613774222638759,[0.5567016  0.31157702 0.21897778],[0.53502536 0.30269596 0.18452631],[-0.49255899  0.50665647  0.50082725 -0.49985689],[-0.74024421  0.00427446 -0.00279179  0.6723187 ],[0.55662429 0.42317328 0.31886593],[0.5557943  1.03144097 0.31637338]
9,50_hits-config_1-object_2,24,7,1,0.7711547017097473,0.6138597421220818,4.6027629665203165,[0.55794996 0.31122553 0.21881789],[0.5336135  0.29906055 0.18444376],[-0.49074605  0.50863147  0.50216925 -0.49828541],[-0.74002129  0.00503066 -0.0036113   0.67255491],[0.55762285 0.42328283 0.31898928],[0.56105536 1.03712881 0.31672636]
