Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
0,2024-05-16_13:49:02,75,7,0.868,0.941526472568512,0.5138148236156258,4.7016466410681454,[0.58542216 0.15835676 0.22144958],[0.60491562 0.13385232 0.21196933],[-3.64240003e-03 -1.50031061e-04  1.95016130e-03  9.99991477e-01],[-0.71014667  0.0034713  -0.00107811  0.7040444 ],[0.58525789 0.25883147 0.28177154],[0.56552535 0.77225602 0.27837506]
1,2024-05-16_13:49:02,89,7,0.944,1.004680871963501,0.5491631389068272,4.721960344008831,[0.58249491 0.16050261 0.22134838],[0.59729058 0.13171968 0.21274872],[-3.78698995e-03 -1.50372405e-04  6.36521308e-03  9.99972582e-01],[-0.70997053  0.00537223 -0.00460642  0.7041958 ],[0.58233804 0.26088664 0.28154293],[0.61733276 0.80892575 0.27860045]
2,2024-05-16_13:49:02,142,7,1.152,1.1029725074768066,0.7941309704022962,4.716414637704912,[0.58864546 0.15927407 0.22120187],[0.60918748 0.14257488 0.2048783 ],[-2.96068890e-03  7.46654914e-05  5.53048588e-03  9.99980330e-01],[-7.05154300e-01 -9.94271971e-03 -2.36776599e-04  7.08984137e-01],[0.58824354 0.26080725 0.28191426],[0.44346726 1.04161537 0.27717045]
3,2024-05-16_13:49:02,69,7,0.838,0.9198410511016846,0.4450749439104059,4.768542633098666,[0.58751994 0.1597245  0.22151405],[0.60258323 0.14051698 0.22139828],[-3.83451045e-03 -4.29517793e-04  5.51139517e-03  9.99977350e-01],[-0.70981902  0.00791861 -0.00732595  0.70430148],[0.58733422 0.26018226 0.28175831],[0.62576598 0.70358831 0.27935329]
4,2024-05-16_13:49:02,43,7,0.725,0.8048883080482483,0.34045161007615715,4.616259551678012,[0.59054112 0.15420935 0.2215941 ],[0.62203455 0.13182333 0.216316  ],[-4.39224113e-03  2.57184467e-04  1.31744950e-03  9.99989450e-01],[-0.70816904 -0.00376697  0.00771589  0.70599073],[0.59027326 0.25547394 0.28204793],[0.50130671 0.5840804  0.27887794]
5,2024-05-16_13:49:02,104,7,1.003,1.0424484014511108,0.661690842921802,4.768578888985448,[0.58622801 0.16216937 0.22119701],[0.59634978 0.13794343 0.2130381 ],[-5.22798719e-03  2.51359423e-04 -4.62851691e-04  9.99986172e-01],[-0.70713365  0.00449871 -0.00902676  0.707008  ],[0.58572382 0.26395878 0.28171417],[0.60729814 0.92528778 0.27807102]
6,2024-05-16_13:49:02,57,7,0.794,0.8704701662063599,0.46124520202143143,4.674936891463348,[0.58382291 0.15544024 0.22152701],[0.60794842 0.13082904 0.21611831],[-4.09891782e-03  1.85353667e-04  2.46545137e-03  9.99988556e-01],[-7.09032595e-01  1.37166295e-03 -6.92158588e-04  7.05174029e-01],[0.58376521 0.25596255 0.28154477],[0.5563212  0.71638352 0.27899587]
7,2024-05-16_13:49:02,128,7,1.1,1.085209846496582,0.8391842091603096,4.722525900970242,[0.58796835 0.16459778 0.22113454],[0.60871798 0.1439389  0.19821502],[-9.79738543e-04  3.17827158e-04  7.12885521e-04  9.99999225e-01],[-0.69364822 -0.00918004 -0.00165332  0.72025353],[0.58753181 0.26650125 0.28204116],[0.38840649 1.08170211 0.27686495]
8,2024-05-16_13:49:02,63,7,0.816,0.8920997381210327,0.4762251433760382,4.698830663837471,[0.58515137 0.15625876 0.22155434],[0.60697651 0.13355598 0.216986  ],[-3.80750163e-03 -2.43985400e-04  1.98910502e-03  9.99990761e-01],[-0.70932609  0.003063   -0.00306741  0.70486718],[0.58500564 0.256888   0.28173545],[0.57374084 0.73297292 0.27915815]
9,2024-05-16_13:49:02,15,7,0.571,0.6654267907142639,0.2138853660880423,4.829625196460978,[0.57554847 0.1571584  0.22144476],[0.58481705 0.1350622  0.24931508],[-5.64061571e-03 -3.89238034e-04 -6.01426815e-04  9.99983847e-01],[-0.70474648  0.01869798 -0.00801921  0.70916742],[0.57512718 0.25915983 0.28165019],[0.60585541 0.47082126 0.28017843]
