Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
0,2024-05-16_12:14:03,75,7,0.87,0.8433801531791687,0.4293798336402869,4.88389892959949,[0.5743345  0.15967439 0.22030464],[0.57809734 0.14318836 0.22372456],[ 0.4980621  -0.50251019 -0.49530664  0.50407237],[-0.70791483  0.01196071 -0.00982514  0.70612818],[0.57403797 0.27003202 0.32074779],[0.57486075 0.6994046  0.31839129]
1,2024-05-16_12:14:03,89,7,0.821,0.8347329497337341,0.4116934544363483,4.992836412090442,[0.55208385 0.1574261  0.22021729],[0.54476881 0.1389727  0.22763938],[ 0.50116467 -0.49973539 -0.49267089  0.50633377],[-0.70456129  0.0166388  -0.01941275  0.70918244],[0.55169147 0.26777074 0.32011649],[0.56911898 0.67909235 0.31859481]
2,2024-05-16_12:14:03,142,7,0.543,0.6213414669036865,0.22910708682842904,4.994875458327215,[0.54527253 0.15379243 0.22022986],[0.5517866  0.14236467 0.23628733],[ 0.49690256 -0.50449622 -0.49663651  0.50191987],[-0.70501935  0.0185763  -0.01267379  0.70883143],[0.54472494 0.26431471 0.32065132],[0.54430234 0.49341679 0.31919605]
3,2024-05-16_12:14:03,43,7,0.997,0.8455258011817932,0.4020418273240913,5.276545182725976,[0.54313767 0.17361392 0.22002181],[0.52379322 0.16153882 0.22955106],[-0.49490532  0.50693649  0.49840972 -0.49967176],[-0.70531881  0.0159771  -0.02665979  0.70820856],[0.54183275 0.28490943 0.32053265],[0.55590409 0.68669921 0.31838852]
4,2024-05-16_12:14:03,92,7,0.796,0.8354856371879578,0.4055730712835417,5.004591087187702,[0.54506803 0.15640081 0.22027156],[0.54241896 0.14023553 0.22791089],[ 0.49749446 -0.503865   -0.49563548  0.50295609],[-0.70786601  0.01863534 -0.01412927  0.7059595 ],[0.54424709 0.2670964  0.32076994],[0.55515373 0.67251652 0.31851515]
5,2024-05-16_12:14:03,104,7,0.728,0.7796552777290344,0.38182270101103727,4.6494245451648215,[0.61158854 0.16735955 0.22035795],[0.64120436 0.15611936 0.20565933],[ 0.50062537 -0.49997729 -0.4933612   0.50595623],[-0.70926607 -0.00871997  0.01063536  0.70480669],[0.6110425 0.2787604 0.3209188],[0.54989868 0.65564841 0.31858662]
6,2024-05-16_12:14:03,148,7,0.526,0.6067768335342407,0.2276068063746667,4.990757089322752,[0.54966468 0.15114187 0.22032446],[0.54936332 0.13866198 0.24842538],[ 0.49739933 -0.5038898  -0.4960835   0.5025835 ],[-0.70570165  0.02407735 -0.01619372  0.70791471],[0.54921061 0.26189244 0.32069907],[0.5501281  0.48949295 0.31927705]
7,2024-05-16_12:14:03,150,7,0.501,0.5840233564376831,0.20624668425618015,4.996310514750049,[0.54529625 0.15186171 0.22030056],[0.54975152 0.1401675  0.24719734],[ 0.49465659 -0.50679743 -0.49740168  0.50106168],[-0.70608675  0.02561182 -0.01107236  0.70757538],[0.54473633 0.26290575 0.32072353],[0.54224402 0.46913281 0.31935197]
8,2024-05-16_12:14:03,149,7,0.513,0.5923678874969482,0.19526116263949034,4.8800246252348884,[0.54351628 0.14726822 0.22030848],[0.56068915 0.13382275 0.22195584],[ 0.49667856 -0.50446665 -0.49780723  0.50101072],[-0.70336342  0.0113324  -0.00865706  0.71068734],[0.54309231 0.25795168 0.32073504],[0.53455347 0.45302004 0.3192037 ]
9,2024-05-16_12:14:03,133,7,0.581,0.658869206905365,0.2327557045468631,4.850594253029088,[0.55645752 0.15365349 0.22020119],[0.57001722 0.13472323 0.21825761],[ 0.49581766 -0.50499165 -0.49837291  0.50077218],[-0.70370048  0.00812148 -0.01088938  0.7103669 ],[0.55610657 0.26363462 0.32065615],[0.54817879 0.49625075 0.31920493]
