RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714994845.3424602,0.50487810373306274  1.0482257604598999 0.31613373756408691, 0.51814097166061401 -0.48253914713859558 -0.47618934512138367  0.52146869897842407,0.50487810373306274  1.0482257604598999 0.31613373756408691, 0.51814097166061401 -0.48253914713859558 -0.47618934512138367  0.52146869897842407
1714994845.3474586,0.50490176677703857  1.0482324361801147 0.31610310077667236, 0.51814353466033936 -0.48255768418312073  -0.4761616587638855  0.52147430181503296,0.50490176677703857  1.0482324361801147 0.31610310077667236, 0.51814353466033936 -0.48255768418312073  -0.4761616587638855  0.52147430181503296
1714994845.3524542,0.50487065315246582  1.0482512712478638 0.31608772277832031, 0.51814216375350952 -0.48252111673355103 -0.47619307041168213  0.52148079872131348,0.50487065315246582  1.0482512712478638 0.31608772277832031, 0.51814216375350952 -0.48252111673355103 -0.47619307041168213  0.52148079872131348
1714994845.3574867,0.50497585535049438  1.0481472015380859 0.31643974781036377, 0.51818943023681641 -0.48237243294715881 -0.47638079524040222  0.52139991521835327,0.50497585535049438  1.0481472015380859 0.31643974781036377, 0.51818943023681641 -0.48237243294715881 -0.47638079524040222  0.52139991521835327
1714994845.362462,0.50495308637619019  1.0481306314468384 0.31644356250762939, 0.51817643642425537  -0.4823392927646637 -0.47643128037452698  0.52139735221862793,0.50495308637619019  1.0481306314468384 0.31644356250762939, 0.51817643642425537  -0.4823392927646637 -0.47643128037452698  0.52139735221862793
1714994845.36746,0.50485825538635254  1.0482778549194336 0.31603771448135376,  0.5181540846824646  -0.4825473427772522 -0.47615519165992737  0.52147930860519409,0.50485825538635254  1.0482778549194336 0.31603771448135376,  0.5181540846824646  -0.4825473427772522 -0.47615519165992737  0.52147930860519409
1714994845.3725796,0.50498294830322266  1.0481455326080322 0.31638780236244202, 0.51816284656524658 -0.48239931464195251 -0.47635456919670105  0.52142542600631714,0.50498294830322266  1.0481455326080322 0.31638780236244202, 0.51816284656524658 -0.48239931464195251 -0.47635456919670105  0.52142542600631714
1714994845.377461, 0.5049324631690979  1.0482165813446045 0.31600639224052429,  0.5181279182434082 -0.48252254724502563 -0.47625243663787842  0.52143943309783936, 0.5049324631690979  1.0482165813446045 0.31600639224052429,  0.5181279182434082 -0.48252254724502563 -0.47625243663787842  0.52143943309783936
1714994845.382457,0.50500142574310303  1.0481380224227905 0.31636744737625122, 0.51815319061279297 -0.48235535621643066 -0.47642913460731506   0.5214076042175293,0.50500142574310303  1.0481380224227905 0.31636744737625122, 0.51815319061279297 -0.48235535621643066 -0.47642913460731506   0.5214076042175293
1714994845.3874533,0.50496792793273926  1.0481687784194946 0.31634321808815002, 0.51817244291305542 -0.48238444328308105 -0.47639250755310059  0.52139496803283691,0.50496792793273926  1.0481687784194946 0.31634321808815002, 0.51817244291305542 -0.48238444328308105 -0.47639250755310059  0.52139496803283691
1714994845.3924572,0.50499910116195679  1.0481858253479004  0.3163033127784729,  0.5181085467338562 -0.48240140080451965  -0.4763580858707428  0.52147424221038818,0.50499910116195679  1.0481858253479004  0.3163033127784729,  0.5181085467338562 -0.48240140080451965  -0.4763580858707428  0.52147424221038818
1714994845.397455,0.50499755144119263  1.0481734275817871 0.31637623906135559, 0.51812571287155151 -0.48242929577827454 -0.47631314396858215  0.52147245407104492,0.50499755144119263  1.0481734275817871 0.31637623906135559, 0.51812571287155151 -0.48242929577827454 -0.47631314396858215  0.52147245407104492
1714994845.4024551,  0.504996657371521  1.0482146739959717 0.31630247831344604, 0.51809102296829224 -0.48236751556396484 -0.47638145089149475  0.52150166034698486,  0.504996657371521  1.0482146739959717 0.31630247831344604, 0.51809102296829224 -0.48236751556396484 -0.47638145089149475  0.52150166034698486
1714994845.4074526,0.50496482849121094  1.0482094287872314 0.31642413139343262, 0.51811838150024414 -0.48234143853187561  -0.4763914942741394  0.52148938179016113,0.50496482849121094  1.0482094287872314 0.31642413139343262, 0.51811838150024414 -0.48234143853187561  -0.4763914942741394  0.52148938179016113
