DesiredFlux,0.863,HitTime,1715079025.6524153,DesiredPos,0.53532558679580688 0.32488411664962769 0.21930241584777832
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715079025.1170249,-0.45820030099696396   1.1211818240963514 0.016642073628342607  -1.3320045336205659  -1.9634254206160828  -1.8834694283696733 -0.91517791147736016, 3.3971330116624456e-05 -4.0557857749337281e-05   4.425516139603454e-05  -0.0012299163705206991  9.8225007604162961e-07  3.2473832332199839e-05  -0.0033652530104091912,-0.72320635223388674    64.26589086914062   -2.220305519104004  -14.911790199279785  -1.1832238769531249   1.7411825065612794 -0.15486077880859375,-0.050023170936083938   -3.5706663304547201    1.4257399599249612 -0.017607673809349533   0.71931731489440609     0.128822750528748   -0.9815556695606007,  0.54324406385421753 -0.035231363028287888   0.20947590470314026,  -0.70016080141067505 -0.0086698392406105995    0.02392328716814518    0.71353161334991455,-0.00034005485940724611  0.00037944843643344939 -0.00015365233412012458,-0.0073327342979609966      1.247525691986084  0.0090941125527024269,  0.2493295818567276 0.028687862679362297 0.063966251909732819 0.028687862679362297  0.23270577192306519 -0.02233467809855938 0.063966251909732819 -0.02233467809855938  0.18415577709674835,    -1.059576521463157   -0.36520632366077166    -1.1195239399448553    0.64634814248343275    0.54530366034466482    0.10548175425384443 2.7768479071710317e-05,0.00036813749466091394
IIWA_7,1715079025.1220427,-0.45820275776605229   1.1211820637518743 0.016641953855122689  -1.3320095669319627  -1.9634254206160828  -1.8834691288275405 -0.91519295174310611,-7.1093699440003981e-05  -2.286006528018109e-05   3.061320032008915e-05  -0.0011852655522879541  7.8580006083330378e-07  3.7960751180781066e-05  -0.0032938130381652319,-0.74068159866333005   64.333103355407715  -2.2370326423645017  -14.954928569793701  -1.1920276260375977   1.7471900367736817 -0.15452702713012695,-0.046063303294432756   -3.5706988807773379    1.4279392800914683 -0.018719585341001505   0.71920977945283171   0.12831058640501711  -0.98085189423381491,  0.54324233531951904 -0.035231441259384155   0.20947504043579102,  -0.70015972852706909 -0.0086735524237155914   0.023918319493532181    0.71353274583816528,-0.00034195440821349621  0.00030041046557016671 -0.00015745928976684809,-0.0073310337029397488     1.2475253343582153  0.0090942671522498131,  0.24933032691478729  0.028687596321105957  0.063965894281864166  0.028687596321105957   0.23270589113235474 -0.022334802895784378  0.063965894281864166 -0.022334802895784378   0.18415509164333344,   -1.0595655877851939   -0.36520924873606475    -1.1195217046493511    0.64634421579512491    0.54530041540967744    0.10548183274039502 2.7769971211455413e-05,0.00033316607004962862
IIWA_7,1715079025.1270614,-0.45820539430405355   1.1211821237475674 0.016641594317296778  -1.3320144804701393  -1.9634253247975069  -1.8834683498652787 -0.91520703316859431,-0.00016233647960220166 -1.5888224500935302e-05  1.0109047219644669e-05  -0.0011447539688925297  4.4613830871676502e-06   6.152709141681884e-05  -0.0031983074500601598,-0.69228860855102536   64.377463596344001  -2.2255877685546874  -15.018315563201904  -1.1955491256713866    1.740181251525879 -0.15319202041625976,  31.700073866962843   2.0302920516659122   20.553474639852283  -7.0998158058117999   1.3415238300242711   2.6144403339704523 -0.98008579735756129,  0.54324102401733398 -0.035232480615377426   0.20947432518005371,  -0.70015907287597656 -0.0086770113557577133   0.023912617936730385    0.71353358030319214,-0.00032564383582212031  0.00019875052385032177 -0.00015435210661962628,-0.0073287049308419228     1.2475253343582153  0.0090946275740861893,  0.24933096766471863    0.0286873709410429  0.063965596258640289    0.0286873709410429   0.23270586133003235 -0.022335009649395943  0.063965596258640289 -0.022335009649395943   0.18415458500385284,   -1.0595574603460278   -0.36521485685714339    -1.1195234339194116    0.64634452136314025    0.54529623268528837    0.10547797108273471 2.7770626687129152e-05,0.00028468258096836507
IIWA_7,1715079025.13201,-0.45817795041964599   1.1211938082905772 0.016671494970792712  -1.3320471375439396  -1.9634234072042578  -1.8834391082917414 -0.91521997609399486,0.00096788619262076141 0.00045467114079187514  0.0012041133776130686 -0.0022220861271256519 8.0272836432890892e-05  0.0012188846146226908  -0.003076362976070118, -0.8415003280639648   64.244382873535159  -2.6596125984191894  -14.680251598358154  -1.2210799980163574   1.6223669090270996 -0.15519453048706056,  31.701910600595848   2.0306571589694555   20.554260517825249  -7.1006341249204006   1.3411422054962556   2.6140349043046198 -0.97973244400221859,  0.54323959350585938 -0.035233154892921448   0.20947340130805969, -0.70015829801559448 -0.008679678663611412  0.023907987400889397   0.71353447437286377,-0.00031930769910104573  0.00013202209083829075 -0.00016042757488321513,-0.0073287063278257847     1.2475255727767944  0.0090946294367313385, 0.24933168292045593 0.028687108308076859 0.063965253531932831 0.028687108308076859  0.23270589113235474 -0.02233518660068512 0.063965253531932831 -0.02233518660068512   0.1841539740562439,   -1.0595475301240498   -0.36521948872625387    -1.1195232441156833      0.646343232067359    0.54529215214493831    0.10547532299209905 2.7771358546146985e-05,0.0002635192358866334
IIWA_7,1715079025.1370099,-0.45774849579473104   1.1212788363684112 0.017171776365750523  -1.3322911363186976   -1.963403753226084   -1.883138064630296 -0.91522980317034819,  0.017952493950694565    0.00376486002599144   0.020974546500402903  -0.011537619892020642 0.00085037739609943584   0.013016854149516345 -0.0028541734349893087, -9.5791235427856449   60.684809600830079  -8.4876944923400881    -11.3973335647583  -1.2739024925231934   1.4211146469116211 -0.17021335601806639,  31.675597670642951   2.0104405164252932    20.53912018202281  -7.0855835902336777    1.347879638566355   2.6122568553849725 -0.98308848134485527,  0.54323512315750122 -0.035203497856855392   0.20946232974529266,  -0.70014971494674683 -0.0086848530918359756   0.023915927857160568    0.71354258060455322,-0.00037022095057182014   0.0012778686359524727  -0.0005385582335293293,-0.0073268278501927853     1.2475255727767944  0.0090950829908251762,  0.24933364987373352  0.028682703152298927  0.063965268433094025  0.028682703152298927   0.23271042108535767 -0.022330746054649353  0.063965268433094025 -0.022330746054649353    0.1841488778591156,  -1.0593436105725829  -0.36511485534518329   -1.1192770688541742   0.64621478630311202   0.54527414225269411   0.10553566627446997 2.778600372010942e-05,0.00099284015595912933
IIWA_7,1715079025.1420333,-0.45732605183017211   1.1212368916340796 0.017730720676695583   -1.332478569626897  -1.9633807435033575  -1.8825255508195362 -0.91524184736026692,  0.031259753742912746  0.0013340986475286923   0.039137409638124732  -0.016727428241595739    0.00160069082593987   0.034914035750004027 -0.0027651063447408967, -17.576065158843996   61.231919239044188  -12.635140686035156   -11.58749454498291 -0.89622165679931642   1.3994207878112792 -0.13483567810058594,  31.675597670642951   2.0104405164252932    20.53912018202281  -7.0855835902336777    1.347879638566355   2.6122568553849725 -0.98308848134485527,  0.54323512315750122 -0.035203497856855392   0.20946232974529266,  -0.70014971494674683 -0.0086848530918359756   0.023915927857160568    0.71354258060455322,-0.00037022095057182014   0.0012778686359524727  -0.0005385582335293293,-0.0073254345916211605     1.2475254535675049  0.0090955216437578201,  0.24933364987373352  0.028682703152298927  0.063965268433094025  0.028682703152298927   0.23271042108535767 -0.022330746054649353  0.063965268433094025 -0.022330746054649353    0.1841488778591156,  -1.0593436105725829  -0.36511485534518329   -1.1192770688541742   0.64621478630311202   0.54527414225269411   0.10553566627446997 2.778600372010942e-05,0.00099284015595912933
IIWA_7,1715079025.1470084,-0.45706899024771058   1.1211966844841015 0.018393328491313615  -1.3327732617079453  -1.9633696220908308  -1.8816349432270809 -0.91525287282331791,   0.03529026629279125 -0.0005410070811010389   0.057814240295221059  -0.025169625835207172  0.0017254091618191883   0.063555532298215006 -0.0026531035978320889,  -20.71488826751709   60.816546073913571  -13.788431816101074  -12.657150058746337   -1.425326976776123   1.1554483108520508 -0.12048435592651367,  30.937145936212037   1.9009387835159925    19.94592899524206  -6.9589034519541668   1.4048221773034266   2.5969427953053232 -0.99383156671517514,  0.54334408044815063 -0.034308388829231262   0.20941346883773804,  -0.70002120733261108 -0.0089678177610039711   0.024161955341696739    0.71365684270858765, 0.0003347703895997256   0.018836652860045433 -0.0019177726935595274,-0.0073226690292358398     1.2475329637527466   0.009097016416490078, 0.24930968880653381 0.028641052544116974  0.06398976594209671 0.028641052544116974  0.23277324438095093 -0.02225806750357151  0.06398976594209671 -0.02225806750357151  0.18412062525749207,   -1.0572336895418033   -0.36342172878445211    -1.1159229610431254     0.6445798679513004    0.54533101495479741    0.10672954640611465 2.8035731070019665e-05,0.013098285533487797
IIWA_7,1715079025.1520107,-0.45697077947987008   1.1211495865560701 0.019233003231038819  -1.3332480167899281  -1.9633621438785847  -1.8804097958323418  -0.9152631193241072,  0.032160643747853032 -0.0023167227861356277    0.07983838182518499   -0.03912590394747785   0.001679455819299942   0.099850321628136507 -0.0025323429098372896,-19.467424522399902  60.918709053039549 -11.860410766601563 -11.770612525939942 -1.0036273956298829  1.0833579483032227 -0.1815609130859375, 30.777696637769601  1.8453484141881404  19.771627539636491 -6.9610727130901315  1.4277381816320549  2.4764425771193097 -1.0020806990612707, 0.54344403743743896 -0.03389555960893631  0.20935192704200745,  -0.70004492998123169 -0.0089970119297504425   0.024142047390341759    0.71363389492034912, 0.0071469778195023537   0.042973395437002182 -0.0040449290536344051,-0.0073244455270469189     1.2476367950439453  0.0091121867299079895, 0.24923181533813477 0.028509307652711868 0.064065456390380859 0.028509307652711868  0.23289120197296143 -0.02208356186747551 0.064065456390380859 -0.02208356186747551  0.18411317467689514,   -1.0513040225585968   -0.35972875962997364    -1.1077525783429465    0.64093632935779965    0.54440283828771641    0.10722046457267709 2.8137065122280092e-05,0.030256876721978188
IIWA_7,1715079025.1570125,-0.45691331505966354   1.1210966162496045 0.020362636173465613  -1.3337986319533504  -1.9633475710774622  -1.8788347691546894 -0.91527785993863719,  0.028027091806544158 -0.0039721904875309293    0.10905602315721978  -0.053325329694872373  0.0019264767003396397    0.14288132440860574 -0.0026154989090696533, -16.325912914276124   60.160552207946779  -11.075996723175049  -11.500337429046631  -1.0432442665100097   1.4635011100769042 -0.17021335601806639, 30.777696637769601  1.8453484141881404  19.771627539636491 -6.9610727130901315  1.4277381816320549  2.4764425771193097 -1.0020806990612707, 0.54344403743743896 -0.03389555960893631  0.20935192704200745,  -0.70004492998123169 -0.0089970119297504425   0.024142047390341759    0.71363389492034912, 0.0071469778195023537   0.042973395437002182 -0.0040449290536344051,-0.0073662898503243923     1.2477343082427979  0.0091803846880793571, 0.24923181533813477 0.028509307652711868 0.064065456390380859 0.028509307652711868  0.23289120197296143 -0.02208356186747551 0.064065456390380859 -0.02208356186747551  0.18411317467689514,   -1.0513040225585968   -0.35972875962997364    -1.1077525783429465    0.64093632935779965    0.54440283828771641    0.10722046457267709 2.8137065122280092e-05,0.030256876721978188
IIWA_7,1715079025.1620102,-0.45680443847568103   1.1210001432842835   0.0218003237649433  -1.3344454206490437  -1.9633435444283449  -1.8768653414811511 -0.91528738736377457,  0.026776736804535687 -0.0070366710028649006    0.14475232218488326  -0.068531811583631724  0.0017022473249617221    0.19308216646841453 -0.0024734961327508797,-16.039587722778322  60.641793609619143 -11.089202346801757 -12.034724998474122 -1.3152801132202148 0.91581460571289064 -0.1381731948852539, 30.650894774195319   1.620652341762566  19.457180753611595 -6.9538335939594447   1.500603923218395  2.0760070905863448 -1.0543807382498265,  0.54369473457336426 -0.032975845038890839   0.20910875499248505,  -0.70013695955276489 -0.0087856054306030273   0.023894064128398895    0.71355456113815308, 0.013721389696002007  0.061002571135759354 -0.011358395218849182,-0.0074996142648160458     1.2478295564651489  0.0092490306124091148, 0.24919195473194122 0.028250278905034065 0.064153335988521576 0.028250278905034065  0.23303455114364624 -0.02185356430709362 0.064153335988521576 -0.02185356430709362  0.18407303094863892,   -1.0404726824626565     -0.355455819276429    -1.0955068245213084    0.63621452205087081    0.54156034401842135     0.1055901253863567 2.7813876535276449e-05,0.043940898030996323
