RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715078787.8939605,0.53823912143707275 0.42600500583648682 0.31920862197875977,-0.49316537380218506  0.50763833522796631  0.50193327665328979 -0.49714607000350952,0.53823912143707275 0.42600500583648682 0.31920862197875977,-0.49316537380218506  0.50763833522796631  0.50193327665328979 -0.49714607000350952
1715078787.898932,0.53824770450592041 0.42598271369934082 0.31920617818832397,-0.49315884709358215  0.50763112306594849  0.50196337699890137 -0.49712949991226196,0.53824770450592041 0.42598271369934082 0.31920617818832397,-0.49315884709358215  0.50763112306594849  0.50196337699890137 -0.49712949991226196
1715078787.9039257,0.53843146562576294 0.42572972178459167 0.31900101900100708,-0.49298864603042603  0.50758421421051025  0.50217384099960327 -0.49713370203971863,0.53843146562576294 0.42572972178459167 0.31900101900100708,-0.49298864603042603  0.50758421421051025  0.50217384099960327 -0.49713370203971863
1715078787.9089007,0.53818583488464355 0.42605218291282654 0.31916147470474243,-0.49312442541122437  0.50771981477737427  0.50183784961700439 -0.49719980359077454,0.53818583488464355 0.42605218291282654 0.31916147470474243,-0.49312442541122437  0.50771981477737427  0.50183784961700439 -0.49719980359077454
1715078787.9139674,0.53841131925582886 0.42575046420097351 0.31902140378952026,-0.49300828576087952  0.50757890939712524  0.50215017795562744 -0.49714353680610657,0.53841131925582886 0.42575046420097351 0.31902140378952026,-0.49300828576087952  0.50757890939712524  0.50215017795562744 -0.49714353680610657
1715078787.9189467,0.53821218013763428 0.42604222893714905 0.31920504570007324,-0.49316227436065674   0.5076441764831543  0.50191837549209595 -0.49715828895568848,0.53821218013763428 0.42604222893714905 0.31920504570007324,-0.49316227436065674   0.5076441764831543  0.50191837549209595 -0.49715828895568848
1715078787.9239058,0.53811335563659668 0.42620247602462769 0.31910285353660583,-0.49310949444770813  0.50770014524459839   0.5017734169960022 -0.49729970097541809,0.53811335563659668 0.42620247602462769 0.31910285353660583,-0.49310949444770813  0.50770014524459839   0.5017734169960022 -0.49729970097541809
1715078787.9289057,0.53806579113006592 0.42631673812866211 0.31913328170776367,-0.49317586421966553  0.50765758752822876  0.50175541639328003 -0.49729549884796143,0.53806579113006592 0.42631673812866211 0.31913328170776367,-0.49317586421966553  0.50765758752822876  0.50175541639328003 -0.49729549884796143
1715078787.9339042,0.53829586505889893 0.42605060338973999 0.31899139285087585,-0.49301207065582275   0.5075492262840271  0.50206941366195679 -0.49725165963172913,0.53829586505889893 0.42605060338973999 0.31899139285087585,-0.49301207065582275   0.5075492262840271  0.50206941366195679 -0.49725165963172913
1715078787.9389489,0.53833305835723877 0.42603570222854614 0.31897982954978943, -0.4929259717464447  0.50762176513671875  0.50208950042724609 -0.49724268913269043,0.53833305835723877 0.42603570222854614 0.31897982954978943, -0.4929259717464447  0.50762176513671875  0.50208950042724609 -0.49724268913269043
1715078787.9439061,0.53832095861434937  0.4260537326335907 0.31901001930236816,-0.49295920133590698  0.50761961936950684  0.50208175182342529 -0.49721968173980713,0.53832095861434937  0.4260537326335907 0.31901001930236816,-0.49295920133590698  0.50761961936950684  0.50208175182342529 -0.49721968173980713
1715078787.9489048,0.53820937871932983 0.42597806453704834 0.31934407353401184,-0.49316784739494324  0.50768935680389404  0.50204950571060181 -0.49697411060333252,0.53820937871932983 0.42597806453704834 0.31934407353401184,-0.49316784739494324  0.50768935680389404  0.50204950571060181 -0.49697411060333252
1715078787.9539042,0.53820103406906128  0.4259972870349884 0.31935200095176697,-0.49317663908004761  0.50772720575332642  0.50205665826797485 -0.49691951274871826,0.53820103406906128  0.4259972870349884 0.31935200095176697,-0.49317663908004761  0.50772720575332642  0.50205665826797485 -0.49691951274871826
1715078787.9589481, 0.5381777286529541 0.42601937055587769 0.31934851408004761, -0.4931761622428894  0.50775247812271118  0.50204217433929443 -0.49690878391265869, 0.5381777286529541 0.42601937055587769 0.31934851408004761, -0.4931761622428894  0.50775247812271118  0.50204217433929443 -0.49690878391265869
1715078787.9639063,0.53784626722335815 0.42641675472259521 0.31952384114265442,-0.49334090948104858  0.50783812999725342  0.50168746709823608 -0.49701598286628723,0.53784626722335815 0.42641675472259521 0.31952384114265442,-0.49334090948104858  0.50783812999725342  0.50168746709823608 -0.49701598286628723
1715078787.968905,0.53809171915054321  0.4261106550693512 0.31936323642730713,-0.49322214722633362  0.50771570205688477  0.50199371576309204 -0.49694967269897461,0.53809171915054321  0.4261106550693512 0.31936323642730713,-0.49322214722633362  0.50771570205688477  0.50199371576309204 -0.49694967269897461
1715078787.9739106,0.53806781768798828 0.42612391710281372 0.31937235593795776,  -0.493204265832901  0.50768351554870605  0.50200051069259644 -0.49699348211288452,0.53806781768798828 0.42612391710281372 0.31937235593795776,  -0.493204265832901  0.50768351554870605  0.50200051069259644 -0.49699348211288452
1715078787.9788821,0.53806471824645996 0.42611545324325562 0.31937128305435181,-0.49319767951965332  0.50769311189651489  0.50199055671691895  -0.4970003068447113,0.53806471824645996 0.42611545324325562 0.31937128305435181,-0.49319767951965332  0.50769311189651489  0.50199055671691895  -0.4970003068447113
1715078787.9839258,0.53808760643005371 0.42608347535133362 0.31938517093658447,-0.49320921301841736  0.50764566659927368  0.50203174352645874 -0.49699565768241882,0.53808760643005371 0.42608347535133362 0.31938517093658447,-0.49320921301841736  0.50764566659927368  0.50203174352645874 -0.49699565768241882
1715078787.9890153,0.53808736801147461 0.42609101533889771 0.31939336657524109,-0.49322700500488281  0.50764352083206177   0.5020294189453125 -0.49698254466056824,0.53808736801147461 0.42609101533889771 0.31939336657524109,-0.49322700500488281  0.50764352083206177   0.5020294189453125 -0.49698254466056824
1715078787.9939528,0.53811126947402954 0.42606636881828308  0.3193889856338501,-0.49321004748344421  0.50772190093994141  0.50199323892593384 -0.49695587158203125,0.53811126947402954 0.42606636881828308  0.3193889856338501,-0.49321004748344421  0.50772190093994141  0.50199323892593384 -0.49695587158203125
1715078787.9989574,0.53812640905380249 0.42605370283126831 0.31940159201622009,-0.49320125579833984  0.50774067640304565  0.50198835134506226 -0.49695032835006714,0.53812640905380249 0.42605370283126831 0.31940159201622009,-0.49320125579833984  0.50774067640304565  0.50198835134506226 -0.49695032835006714
1715078788.0038986,0.53811943531036377 0.42607474327087402 0.31941220164299011,-0.49325230717658997  0.50770723819732666  0.50200384855270386 -0.49691823124885559,0.53811943531036377 0.42607474327087402 0.31941220164299011,-0.49325230717658997  0.50770723819732666  0.50200384855270386 -0.49691823124885559
1715078788.0089245,0.53784877061843872 0.42644467949867249 0.31956446170806885,-0.49336889386177063  0.50781601667404175  0.50168764591217041 -0.49701061844825745,0.53784877061843872 0.42644467949867249 0.31956446170806885,-0.49336889386177063  0.50781601667404175  0.50168764591217041 -0.49701061844825745
1715078788.0139275,0.53811657428741455 0.42613795399665833 0.31937959790229797,-0.49320089817047119  0.50778603553771973  0.50194096565246582 -0.49695217609405518,0.53811657428741455 0.42613795399665833 0.31937959790229797,-0.49320089817047119  0.50778603553771973  0.50194096565246582 -0.49695217609405518
1715078788.0189002,0.53783977031707764 0.42648530006408691 0.31954732537269592,-0.49332320690155029  0.50788116455078125  0.50163286924362183 -0.49704468250274658,0.53783977031707764 0.42648530006408691 0.31954732537269592,-0.49332320690155029  0.50788116455078125  0.50163286924362183 -0.49704468250274658
1715078788.0239253,0.53783035278320312 0.42650148272514343 0.31955978274345398, -0.4933408796787262  0.50778549909591675  0.50168049335479736 -0.49707680940628052,0.53783035278320312 0.42650148272514343 0.31955978274345398, -0.4933408796787262  0.50778549909591675  0.50168049335479736 -0.49707680940628052
1715078788.0289261,0.53782320022583008 0.42653730511665344 0.31953537464141846,-0.49333870410919189  0.50775641202926636  0.50167667865753174  -0.4971124529838562,0.53782320022583008 0.42653730511665344 0.31953537464141846,-0.49333870410919189  0.50775641202926636  0.50167667865753174  -0.4971124529838562
1715078788.033901,0.53809654712677002 0.42615219950675964 0.31940370798110962,-0.49318549036979675  0.50765669345855713  0.50201839208602905 -0.49702143669128418,0.53809654712677002 0.42615219950675964 0.31940370798110962,-0.49318549036979675  0.50765669345855713  0.50201839208602905 -0.49702143669128418
1715078788.0388999,0.53810036182403564 0.42615431547164917 0.31936439871788025,-0.49316167831420898  0.50762641429901123  0.50204163789749146 -0.49705246090888977,0.53810036182403564 0.42615431547164917 0.31936439871788025,-0.49316167831420898  0.50762641429901123  0.50204163789749146 -0.49705246090888977
1715078788.0439014,0.53783297538757324 0.42647039890289307 0.31953027844429016,-0.49337127804756165  0.50764942169189453  0.50176948308944702 -0.49709582328796387,0.53783297538757324 0.42647039890289307 0.31953027844429016,-0.49337127804756165  0.50764942169189453  0.50176948308944702 -0.49709582328796387
1715078788.0489595,0.53809940814971924 0.42611372470855713 0.31939345598220825,-0.49322745203971863  0.50757795572280884  0.50208306312561035 -0.49699482321739197,0.53809940814971924 0.42611372470855713 0.31939345598220825,-0.49322745203971863  0.50757795572280884  0.50208306312561035 -0.49699482321739197
1715078788.0539265,0.53812646865844727 0.42611914873123169   0.319356769323349,-0.49319562315940857  0.50758087635040283  0.50210845470428467 -0.49699780344963074,0.53812646865844727 0.42611914873123169   0.319356769323349,-0.49319562315940857  0.50758087635040283  0.50210845470428467 -0.49699780344963074
1715078788.0589035, 0.5378347635269165  0.4264703094959259 0.31954914331436157,-0.49334779381752014  0.50765222311019897   0.5017850399017334 -0.49710053205490112, 0.5378347635269165  0.4264703094959259 0.31954914331436157,-0.49334779381752014  0.50765222311019897   0.5017850399017334 -0.49710053205490112
1715078788.0639122,0.53813284635543823 0.42611640691757202 0.31937077641487122,-0.49317699670791626  0.50759625434875488  0.50209653377532959 -0.49701264500617981,0.53813284635543823 0.42611640691757202 0.31937077641487122,-0.49317699670791626  0.50759625434875488  0.50209653377532959 -0.49701264500617981
1715078788.0688994,0.53812319040298462 0.42610955238342285 0.31939685344696045,-0.49320170283317566  0.50756919384002686  0.50212526321411133 -0.49698677659034729,0.53812319040298462 0.42610955238342285 0.31939685344696045,-0.49320170283317566  0.50756919384002686  0.50212526321411133 -0.49698677659034729
